id,age,fare,family_size,embarked,sex,pclass,title,is_alone,target,quality_measure
92,0.15,0.85,1.0,S,female,1.0,Mrs,0.0,target_1,0.0
93,0.95,0.95,2.0,S,male,1.0,rare,1.0,target_1,0.0
94,0.05,0.95,2.0,S,male,1.0,Mr,1.0,target_1,4.440892098500626e-16
95,0.95,0.95,2.0,S,female,1.0,Mrs,1.0,target_1,2.220446049250313e-16
96,0.95,0.95,1.0,C,male,1.0,Mr,0.0,target_0,0.2857142857142858
97,0.55,0.95,2.0,C,female,1.0,Mrs,1.0,target_1,6.661338147750939e-16
98,0.95,0.95,1.0,C,female,1.0,Mrs,0.0,target_1,2.220446049250313e-16
99,0.95,0.85,1.0,C,female,1.0,rare,0.0,target_1,2.220446049250313e-16
100,0.95,0.85,1.0,C,male,1.0,rare,0.0,target_1,2.220446049250313e-16
101,0.85,0.75,0.0,C,male,1.0,Mr,0.0,target_0,0.5
102,0.35,0.95,1.0,C,female,1.0,Mrs,0.0,target_1,0.0
103,0.85,0.95,0.0,C,female,1.0,Mrs,0.0,target_1,2.220446049250313e-16
104,0.95,0.95,1.0,C,female,1.0,Mrs,0.0,target_1,2.220446049250313e-16
105,0.75,0.75,0.0,C,female,1.0,Mrs,0.0,target_0,0.5
106,0.95,0.95,0.0,S,male,1.0,Mr,0.0,target_0,2.220446049250313e-16
107,0.55,0.75,0.0,S,female,1.0,Mrs,0.0,target_1,2.220446049250313e-16
108,0.65,0.95,0.0,C,female,1.0,Mrs,0.0,target_1,0.0
109,0.75,0.75,0.0,S,male,1.0,Mr,0.0,target_1,2.220446049250313e-16
110,0.65,0.75,0.0,C,male,1.0,Mr,0.0,target_0,0.5000000000000002
111,0.35,0.95,5.0,S,female,1.0,Mrs,1.0,target_1,4.440892098500626e-16
112,0.55,0.95,5.0,S,female,1.0,Mrs,1.0,target_1,2.220446049250313e-16
113,0.35,0.95,5.0,S,female,1.0,Mrs,1.0,target_1,4.440892098500626e-16
114,0.25,0.95,5.0,S,male,1.0,Mr,1.0,target_0,0.0
115,0.95,0.95,5.0,S,male,1.0,Mr,1.0,target_0,1.1102230246251565e-16
116,0.95,0.95,5.0,S,female,1.0,Mrs,1.0,target_1,6.661338147750939e-16
117,0.65,0.85,0.0,C,female,1.0,Mrs,0.0,target_1,2.220446049250313e-16
118,0.95,0.75,0.0,S,male,1.0,Mr,0.0,target_0,0.13636363636363635
119,0.95,0.95,2.0,S,male,1.0,rare,1.0,target_1,0.0
120,0.85,0.75,1.0,C,male,1.0,Mr,0.0,target_1,0.0
121,0.75,0.95,1.0,S,female,1.0,Mrs,0.0,target_1,0.0
122,0.35,0.85,2.0,C,female,1.0,Mrs,1.0,target_1,2.220446049250313e-16
123,0.95,0.95,2.0,C,male,1.0,Mr,1.0,target_1,0.6
124,0.95,0.95,2.0,C,female,1.0,Mrs,1.0,target_1,4.440892098500626e-16
125,0.75,0.05,0.0,S,male,1.0,Mr,0.0,target_0,0.0
126,0.75,0.85,1.0,S,male,1.0,Mr,0.0,target_0,0.0
127,0.75,0.85,1.0,S,female,1.0,Mrs,0.0,target_1,0.0
128,0.95,0.85,0.0,S,male,1.0,Mr,0.0,target_0,2.220446049250313e-16
129,0.75,0.95,0.0,C,female,1.0,Mrs,0.0,target_1,0.0
130,0.35,0.85,1.0,C,female,1.0,Mrs,0.0,target_1,2.220446049250313e-16
131,0.95,0.85,1.0,C,female,1.0,Mrs,0.0,target_1,2.220446049250313e-16
132,0.35,0.95,0.0,C,male,1.0,Mr,0.0,target_0,2.220446049250313e-16
133,0.95,0.95,1.0,C,male,1.0,Mr,0.0,target_1,0.7142857142857142
134,0.85,0.95,1.0,C,female,1.0,Mrs,0.0,target_1,0.0
135,1.05,0.85,0.0,C,male,1.0,Mr,0.0,target_0,2.220446049250313e-16
136,0.95,0.75,0.0,C,male,1.0,rare,0.0,target_1,2.220446049250313e-16
137,0.25,0.75,0.0,S,female,1.0,Mrs,0.0,target_1,4.440892098500626e-16
138,0.85,0.95,1.0,S,male,1.0,Mr,0.0,target_0,0.4999999999999999
139,0.95,0.95,1.0,S,female,1.0,Mrs,0.0,target_1,0.20000000000000007
140,0.35,0.95,1.0,C,male,1.0,Mr,0.0,target_1,0.5
141,0.95,0.95,1.0,C,female,1.0,Mrs,0.0,target_1,2.220446049250313e-16
142,0.95,0.95,0.0,C,male,1.0,Mr,0.0,target_0,1.1102230246251565e-16
143,0.45,0.85,1.0,C,male,1.0,Mr,0.0,target_1,2.220446049250313e-16
144,0.45,0.85,1.0,C,female,1.0,Mrs,0.0,target_1,2.220446049250313e-16
145,0.95,0.95,1.0,C,male,1.0,Mr,0.0,target_1,0.7142857142857142
146,0.95,0.95,1.0,C,female,1.0,Mrs,0.0,target_1,2.220446049250313e-16
147,0.55,0.85,0.0,S,male,1.0,Mr,0.0,target_0,0.5000000000000001
148,0.95,0.95,1.0,S,male,1.0,Mr,0.0,target_0,0.0
149,0.75,0.95,1.0,S,female,1.0,Mrs,0.0,target_1,0.0
150,0.85,0.05,0.0,S,male,1.0,Mr,0.0,target_0,0.0
151,0.55,0.95,0.0,C,male,1.0,Mr,0.0,target_1,0.0
152,0.85,0.75,0.0,S,male,1.0,Mr,0.0,target_1,0.5000000000000001
153,0.35,0.95,0.0,C,female,1.0,Mrs,0.0,target_1,0.0
154,0.95,0.95,2.0,S,male,1.0,Mr,1.0,target_0,1.1102230246251565e-16
155,0.95,0.95,2.0,S,female,1.0,Mrs,1.0,target_1,2.220446049250313e-16
156,0.85,0.85,0.0,S,male,1.0,Mr,0.0,target_0,0.3333333333333335
157,0.85,0.85,0.0,S,male,1.0,Mr,0.0,target_0,0.3333333333333335
158,0.95,0.85,0.0,S,male,1.0,Mr,0.0,target_0,2.220446049250313e-16
159,0.15,0.85,1.0,C,female,1.0,Mrs,0.0,target_1,2.220446049250313e-16
160,0.85,0.85,1.0,C,female,1.0,Mrs,0.0,target_1,2.220446049250313e-16
161,0.95,0.95,1.0,S,female,1.0,Mrs,0.0,target_1,0.20000000000000007
162,0.85,0.85,1.0,S,male,1.0,Mr,0.0,target_0,0.33333333333333337
163,0.75,0.85,1.0,S,female,1.0,Mrs,0.0,target_1,0.0
164,0.75,0.75,0.0,C,male,1.0,Mr,0.0,target_1,0.6666666666666665
165,0.85,0.95,1.0,S,male,1.0,Mr,0.0,target_1,0.5
166,0.85,0.75,0.0,C,male,1.0,Mr,0.0,target_0,0.5
167,0.75,0.95,1.0,S,female,1.0,Mrs,0.0,target_1,0.0
168,0.85,0.95,0.0,S,female,1.0,Mrs,0.0,target_1,0.0
169,0.95,0.75,0.0,C,female,1.0,Mrs,0.0,target_0,0.6666666666666667
170,0.95,0.05,0.0,S,male,1.0,Mr,0.0,target_1,2.220446049250313e-16
171,0.95,0.75,0.0,S,male,1.0,Mr,0.0,target_0,0.13636363636363635
172,0.95,0.75,0.0,S,male,1.0,Mr,0.0,target_0,0.13636363636363635
173,0.65,0.95,0.0,C,male,1.0,Mr,0.0,target_0,0.0
174,0.95,0.75,0.0,C,male,1.0,Mr,0.0,target_0,0.5000000000000002
175,0.85,0.85,1.0,S,male,1.0,Mr,0.0,target_0,0.33333333333333337
176,0.85,0.85,1.0,S,female,1.0,Mrs,0.0,target_1,0.0
177,0.85,0.85,1.0,S,male,1.0,Mr,0.0,target_1,0.6666666666666667
178,0.95,0.85,1.0,S,female,1.0,Mrs,0.0,target_1,0.0
179,0.95,0.75,0.0,S,male,1.0,Mr,0.0,target_0,0.13636363636363635
180,0.85,0.95,0.0,S,female,1.0,Mrs,0.0,target_1,0.0
181,0.95,0.75,0.0,S,female,1.0,rare,0.0,target_1,4.440892098500626e-16
182,0.65,0.95,0.0,C,female,1.0,Mrs,0.0,target_1,0.0
183,0.75,1.05,0.0,C,male,1.0,Mr,0.0,target_1,-2.220446049250313e-16
184,0.75,0.75,0.0,C,male,1.0,Mr,0.0,target_0,0.3333333333333336
185,0.85,0.75,0.0,S,male,1.0,Mr,0.0,target_0,0.4999999999999999
186,0.95,0.75,0.0,C,female,1.0,Mrs,0.0,target_1,0.33333333333333337
187,0.15,0.85,1.0,S,female,1.0,Mrs,0.0,target_1,0.0
188,0.95,0.85,1.0,S,female,1.0,Mrs,0.0,target_1,0.0
189,0.55,0.75,0.0,S,male,1.0,Mr,0.0,target_0,0.6666666666666667
190,0.25,0.95,0.0,S,female,1.0,Mrs,0.0,target_1,6.661338147750939e-16
191,0.65,0.85,0.0,S,male,1.0,Mr,0.0,target_0,0.0
192,0.95,0.95,0.0,C,female,1.0,Mrs,0.0,target_1,0.0
193,0.15,0.95,1.0,S,female,1.0,Mrs,0.0,target_1,2.220446049250313e-16
194,0.65,0.75,0.0,S,male,1.0,Mr,0.0,target_0,1.1102230246251565e-16
195,0.15,0.95,0.0,S,female,1.0,Mrs,0.0,target_1,2.220446049250313e-16
196,0.85,0.75,0.0,C,male,1.0,Mr,0.0,target_1,0.5
197,0.25,0.85,1.0,S,male,1.0,Mr,0.0,target_0,0.0
198,0.15,0.85,1.0,S,female,1.0,Mrs,0.0,target_1,0.0
199,0.35,0.85,0.0,C,female,1.0,rare,0.0,target_1,4.440892098500626e-16
200,0.95,0.95,0.0,C,male,1.0,Mr,0.0,target_0,1.1102230246251565e-16
201,0.95,0.85,0.0,S,male,1.0,Mr,0.0,target_0,2.220446049250313e-16
202,0.75,0.75,0.0,S,male,1.0,Mr,0.0,target_1,2.220446049250313e-16
203,0.55,0.95,1.0,C,male,1.0,Mr,0.0,target_0,1.1102230246251565e-16
204,0.45,0.95,1.0,C,female,1.0,Mrs,0.0,target_1,2.220446049250313e-16
205,0.95,0.75,0.0,S,male,1.0,Mr,0.0,target_0,0.13636363636363635
206,0.85,0.95,2.0,Q,male,1.0,rare,1.0,target_0,1.1102230246251565e-16
207,0.65,0.95,1.0,Q,female,1.0,Mrs,0.0,target_1,0.0
208,0.75,0.95,1.0,Q,female,1.0,Mrs,0.0,target_1,0.0
209,0.65,0.85,1.0,C,male,1.0,Mr,0.0,target_1,0.0
210,0.95,0.75,0.0,S,male,1.0,Mr,0.0,target_0,0.13636363636363635
211,0.95,0.85,0.0,S,male,1.0,Mr,0.0,target_0,2.220446049250313e-16
212,0.75,0.75,1.0,C,male,1.0,Mr,0.0,target_0,2.220446049250313e-16
213,0.65,0.95,1.0,C,female,1.0,Mrs,0.0,target_1,0.0
214,0.35,0.95,1.0,C,female,1.0,Mrs,0.0,target_1,0.0
215,0.95,0.95,2.0,C,male,1.0,Mr,1.0,target_0,0.4
216,0.25,0.75,2.0,S,female,1.0,Mrs,1.0,target_1,2.220446049250313e-16
217,0.95,0.75,0.0,S,male,1.0,Mr,0.0,target_0,0.13636363636363635
218,0.85,0.95,0.0,C,female,1.0,rare,0.0,target_1,2.220446049250313e-16
219,0.95,0.75,0.0,C,male,1.0,Mr,0.0,target_1,0.4999999999999999
220,0.35,0.95,1.0,C,female,1.0,Mrs,0.0,target_1,0.0
221,0.95,0.95,1.0,C,male,1.0,Mr,0.0,target_0,0.2857142857142858
222,0.55,0.75,0.0,C,male,1.0,Mr,0.0,target_0,0.0
223,0.75,0.05,0.0,S,male,1.0,Mr,0.0,target_0,0.0
224,0.95,0.75,0.0,S,male,1.0,Mr,0.0,target_0,0.13636363636363635
225,0.35,0.95,0.0,S,male,1.0,Mr,0.0,target_0,1.1102230246251565e-16
226,0.55,0.95,1.0,S,male,1.0,Mr,0.0,target_0,0.0
227,0.35,0.95,1.0,S,female,1.0,Mrs,0.0,target_1,0.0
228,0.15,0.95,1.0,C,male,1.0,Mr,0.0,target_0,0.0
229,0.15,0.95,1.0,C,female,1.0,Mrs,0.0,target_1,2.220446049250313e-16
230,0.65,0.95,0.0,S,female,1.0,Mrs,0.0,target_1,0.0
231,0.95,0.75,0.0,S,male,1.0,rare,0.0,target_1,0.6666666666666667
232,0.95,0.85,0.0,S,male,1.0,Mr,0.0,target_0,2.220446049250313e-16
233,0.95,0.95,1.0,C,female,1.0,Mrs,0.0,target_1,2.220446049250313e-16
234,0.85,0.05,0.0,S,male,1.0,rare,0.0,target_0,2.220446049250313e-16
235,0.55,0.85,0.0,S,male,1.0,Mr,0.0,target_1,0.4999999999999999
236,0.35,0.95,0.0,C,male,1.0,Mr,0.0,target_0,2.220446049250313e-16
237,0.85,0.95,0.0,C,male,1.0,Mr,0.0,target_0,-2.220446049250313e-16
238,0.85,0.95,1.0,S,female,1.0,Mrs,0.0,target_1,0.0
239,0.65,0.85,0.0,S,male,1.0,Mr,0.0,target_0,0.0
240,0.95,0.75,0.0,S,male,1.0,Mr,0.0,target_1,0.8636363636363635
241,0.95,0.85,0.0,S,male,1.0,Mr,0.0,target_0,2.220446049250313e-16
242,0.65,0.75,0.0,C,female,1.0,Mrs,0.0,target_1,2.220446049250313e-16
243,0.95,0.95,0.0,C,male,1.0,Mr,0.0,target_0,1.1102230246251565e-16
244,0.75,0.85,0.0,C,male,1.0,Mr,0.0,target_0,0.0
245,0.65,0.95,0.0,S,female,1.0,rare,0.0,target_1,2.220446049250313e-16
246,0.95,0.85,1.0,C,male,1.0,Mr,0.0,target_0,0.5
247,0.95,0.85,1.0,C,female,1.0,Mrs,0.0,target_1,2.220446049250313e-16
248,0.65,0.75,0.0,S,male,1.0,Mr,0.0,target_0,1.1102230246251565e-16
249,0.15,0.95,4.0,C,male,1.0,Mr,1.0,target_1,0.0
250,0.15,0.95,4.0,C,female,1.0,Mrs,1.0,target_1,0.0
251,0.25,0.95,4.0,C,female,1.0,Mrs,1.0,target_1,2.220446049250313e-16
252,0.95,0.95,4.0,C,male,1.0,Mr,1.0,target_0,1.1102230246251565e-16
253,0.95,0.95,4.0,C,female,1.0,Mrs,1.0,target_1,2.220446049250313e-16
254,0.85,0.75,0.0,S,male,1.0,Mr,0.0,target_1,0.5000000000000001
255,0.35,0.95,0.0,C,female,1.0,rare,0.0,target_1,2.220446049250313e-16
256,0.25,0.75,0.0,S,male,1.0,Mr,0.0,target_0,1.1102230246251565e-16
257,0.75,0.85,1.0,C,female,1.0,Mrs,0.0,target_1,2.220446049250313e-16
258,0.65,0.75,0.0,C,female,1.0,Mrs,0.0,target_1,2.220446049250313e-16
259,0.75,0.75,0.0,S,male,1.0,Mr,0.0,target_1,2.220446049250313e-16
260,0.85,0.95,0.0,S,female,1.0,Mrs,0.0,target_1,0.0
261,0.75,0.75,0.0,S,male,1.0,Mr,0.0,target_1,2.220446049250313e-16
262,0.95,0.85,1.0,S,male,1.0,Mr,0.0,target_0,0.5
263,0.85,0.85,1.0,S,female,1.0,Mrs,0.0,target_1,0.0
264,0.95,0.85,0.0,C,male,1.0,rare,0.0,target_1,0.0
265,0.55,0.85,0.0,S,male,1.0,Mr,0.0,target_1,0.4999999999999999
266,0.95,0.75,0.0,S,male,1.0,Mr,0.0,target_0,0.13636363636363635
267,0.95,0.75,0.0,C,male,1.0,Mr,0.0,target_0,0.5000000000000002
268,0.35,0.85,1.0,S,male,1.0,Mr,0.0,target_0,0.0
269,0.25,0.75,0.0,S,male,1.0,Mr,0.0,target_0,1.1102230246251565e-16
270,0.15,0.85,1.0,S,female,1.0,Mrs,0.0,target_1,0.0
271,0.35,0.95,1.0,S,male,1.0,Mr,0.0,target_1,2.220446049250313e-16
272,0.35,0.95,1.0,S,female,1.0,Mrs,0.0,target_1,0.0
273,0.05,0.95,2.0,C,male,1.0,Mr,1.0,target_1,2.220446049250313e-16
274,0.95,0.95,2.0,C,male,1.0,Mr,1.0,target_1,0.6
275,0.85,0.95,2.0,C,female,1.0,Mrs,1.0,target_1,4.440892098500626e-16
276,0.95,0.95,1.0,C,male,1.0,Mr,0.0,target_0,0.2857142857142858
277,0.65,0.95,1.0,C,female,1.0,Mrs,0.0,target_1,0.0
278,0.65,0.75,0.0,C,male,1.0,rare,0.0,target_1,2.220446049250313e-16
279,0.95,0.75,0.0,S,male,1.0,Mr,0.0,target_0,0.13636363636363635
280,0.95,0.85,1.0,C,male,1.0,Mr,0.0,target_1,0.5000000000000001
281,0.85,0.85,1.0,C,female,1.0,Mrs,0.0,target_1,2.220446049250313e-16
282,0.95,0.95,1.0,C,female,1.0,Mrs,0.0,target_1,2.220446049250313e-16
283,0.75,0.75,0.0,C,male,1.0,Mr,0.0,target_0,0.3333333333333336
284,0.95,0.95,0.0,S,female,1.0,Mrs,0.0,target_1,2.220446049250313e-16
285,1.05,0.95,1.0,S,male,1.0,Mr,0.0,target_0,3.3306690738754696e-16
286,0.95,0.95,1.0,S,female,1.0,Mrs,0.0,target_0,0.7999999999999999
287,0.95,0.75,0.0,S,male,1.0,Mr,0.0,target_0,0.13636363636363635
288,0.95,0.75,0.0,S,female,1.0,Mrs,0.0,target_1,0.0
289,0.15,0.95,2.0,S,female,1.0,Mrs,1.0,target_1,2.220446049250313e-16
290,0.95,0.95,2.0,S,male,1.0,Mr,1.0,target_0,1.1102230246251565e-16
291,0.85,0.95,2.0,S,female,1.0,Mrs,1.0,target_1,2.220446049250313e-16
292,0.95,0.85,1.0,S,male,1.0,Mr,0.0,target_1,0.4999999999999999
293,0.75,0.85,1.0,S,female,1.0,Mrs,0.0,target_1,0.0
294,0.95,0.95,2.0,C,male,1.0,Mr,1.0,target_0,0.4
295,0.15,0.95,2.0,C,male,1.0,Mr,1.0,target_1,0.0
296,0.85,0.95,2.0,C,female,1.0,Mrs,1.0,target_1,4.440892098500626e-16
297,0.95,0.95,0.0,C,female,1.0,Mrs,0.0,target_1,0.0
298,0.65,0.75,0.0,C,male,1.0,Mr,0.0,target_1,0.4999999999999999
299,0.85,0.75,0.0,C,male,1.0,rare,0.0,target_0,0.0
300,0.95,0.75,0.0,S,male,1.0,Mr,0.0,target_0,0.13636363636363635
301,0.95,0.75,0.0,S,male,1.0,Mr,0.0,target_0,0.13636363636363635
302,0.75,1.05,0.0,C,female,1.0,Mrs,0.0,target_1,2.220446049250313e-16
303,0.95,0.95,1.0,C,male,1.0,Mr,0.0,target_0,0.2857142857142858
304,0.95,0.95,1.0,C,female,1.0,Mrs,0.0,target_1,2.220446049250313e-16
305,0.95,0.75,0.0,S,male,1.0,rare,0.0,target_0,0.3333333333333335
306,0.95,0.95,1.0,S,male,1.0,Mr,0.0,target_0,0.0
307,0.25,0.95,1.0,S,male,1.0,Mr,0.0,target_0,-2.220446049250313e-16
308,0.95,0.95,0.0,C,female,1.0,Mrs,0.0,target_1,0.0
309,0.65,0.95,2.0,S,female,1.0,Mrs,1.0,target_1,4.440892098500626e-16
310,0.95,0.95,2.0,S,male,1.0,Mr,1.0,target_0,1.1102230246251565e-16
311,0.95,0.95,2.0,S,female,1.0,Mrs,1.0,target_1,2.220446049250313e-16
312,0.95,0.95,2.0,C,male,1.0,Mr,1.0,target_0,0.4
313,0.55,0.95,2.0,C,male,1.0,Mr,1.0,target_0,2.220446049250313e-16
314,0.95,0.95,2.0,C,female,1.0,Mrs,1.0,target_1,4.440892098500626e-16
315,0.25,0.75,0.0,S,female,1.0,Mrs,0.0,target_1,4.440892098500626e-16
316,0.95,0.95,1.0,C,male,1.0,Mr,0.0,target_0,0.2857142857142858
317,0.25,0.95,1.0,C,male,1.0,Mr,0.0,target_1,0.0
318,0.95,0.85,0.0,S,male,1.0,Mr,0.0,target_0,2.220446049250313e-16
319,0.65,0.95,0.0,C,female,1.0,Mrs,0.0,target_1,0.0
320,0.85,0.85,0.0,S,male,1.0,Mr,0.0,target_1,0.6666666666666667
321,0.95,0.75,0.0,S,male,1.0,Mr,0.0,target_0,0.13636363636363635
322,0.75,0.95,0.0,C,female,1.0,Mrs,0.0,target_1,0.0
323,0.65,0.65,1.0,C,male,2.0,Mr,0.0,target_0,1.1102230246251565e-16
324,0.55,0.65,1.0,C,female,2.0,Mrs,0.0,target_1,4.440892098500626e-16
325,0.65,0.45,0.0,S,male,2.0,Mr,0.0,target_0,0.16666666666666674
326,0.15,0.45,0.0,S,male,2.0,Mr,0.0,target_0,1.1102230246251565e-16
