id,age,gender,height_cm,weight_kg,body_fat_%,diastolic,systolic,gripForce,sit_and_bend_forward_cm,sit-ups_counts,broad_jump_cm,class
33,30.0,M,172.1,79.5,26.7,91.0,148.0,34.7,-2.0,40.0,192.0,low_performance
34,49.0,F,151.5,52.0,27.6,77.0,144.0,23.8,21.3,39.0,154.0,mid_performance
35,40.0,M,177.6,88.6,20.3,93.0,138.0,51.5,12.1,54.0,224.0,mid_performance
36,21.0,M,172.5,66.4,12.5,82.0,130.0,51.2,6.3,46.0,178.0,low_performance
37,31.0,M,177.5,79.5,23.0,90.0,148.0,51.2,18.4,62.0,208.0,high_performance
38,32.0,M,178.0,84.5,21.2,68.0,130.0,52.3,16.2,62.0,232.0,high_performance
39,27.0,M,177.6,79.7,22.8,59.0,108.0,48.0,1.8,59.0,219.0,low_performance
40,42.0,M,168.0,61.0,14.9,94.0,151.0,28.9,1.0,32.0,230.0,low_performance
41,52.0,M,173.6,84.9,30.3,93.0,144.0,42.0,9.0,43.0,185.0,low_performance
42,39.0,M,173.3,69.8,23.8,76.0,137.0,40.0,18.2,38.0,227.0,mid_performance
43,33.0,F,159.6,60.5,32.1,62.0,106.0,21.9,22.2,24.0,129.0,mid_performance
44,25.0,F,161.8,57.7,21.7,74.0,115.0,29.3,26.6,50.0,190.0,high_performance
45,31.0,M,169.9,73.1,19.2,97.0,145.0,45.0,14.5,37.0,249.0,low_performance
46,34.0,M,183.6,76.82,16.3,80.0,120.0,46.3,14.2,55.0,220.0,mid_performance
47,26.0,M,172.1,66.1,24.9,62.0,102.0,19.9,-9.9,44.0,159.0,low_performance
48,28.0,M,180.1,82.1,15.0,83.0,147.0,52.6,18.8,55.0,247.0,high_performance
49,58.0,M,164.2,64.0,19.8,93.0,150.0,36.8,18.3,38.0,205.0,mid_performance
50,48.0,M,169.8,75.4,14.7,94.0,149.0,51.4,24.7,55.0,246.0,high_performance
51,23.0,M,180.1,65.9,14.4,72.0,130.0,45.4,18.1,56.0,234.0,high_performance
52,38.0,F,157.2,51.7,27.3,64.0,106.0,25.1,14.7,19.0,139.0,mid_performance
53,43.0,F,168.3,69.3,31.9,88.0,139.0,32.1,20.2,33.0,164.0,mid_performance
54,21.0,F,159.5,51.3,35.8,80.0,122.0,16.6,2.1,5.0,105.0,low_performance
55,56.0,M,166.7,56.9,16.5,90.0,147.0,41.6,17.8,30.0,198.0,mid_performance
56,24.0,M,164.4,66.2,17.1,63.0,110.0,40.2,16.2,43.0,232.0,mid_performance
57,58.0,F,146.5,46.4,32.9,71.0,127.0,18.7,17.4,20.0,111.0,mid_performance
58,42.0,M,174.1,103.1,30.5,78.0,123.0,50.7,3.6,25.0,153.0,low_performance
59,45.0,M,185.4,80.0,21.9,93.0,144.0,46.2,7.1,22.0,205.0,low_performance
60,37.0,M,168.9,78.8,23.4,88.0,144.0,42.1,20.9,47.0,241.0,mid_performance
61,31.0,M,175.3,83.6,30.1,93.0,152.0,45.9,7.2,55.0,193.0,low_performance
62,43.0,F,164.0,50.8,22.4,88.0,124.0,24.0,13.5,28.0,160.0,mid_performance
63,23.0,F,162.4,58.9,29.6,71.0,119.0,28.1,25.5,48.0,178.0,high_performance
64,59.0,F,165.0,63.7,31.4,77.0,120.0,20.8,25.5,30.0,120.0,mid_performance
65,63.0,M,166.6,75.5,31.6,62.0,122.0,34.1,6.7,17.0,140.0,low_performance
66,40.0,M,174.2,77.6,17.8,85.0,133.0,49.5,12.1,48.0,213.0,mid_performance
67,27.0,F,150.5,55.7,39.6,66.0,114.0,29.7,13.4,23.0,159.0,low_performance
68,56.0,F,160.2,62.4,33.3,67.0,103.0,28.8,20.7,15.0,133.0,mid_performance
69,35.0,M,179.0,75.0,10.7,74.0,129.0,47.7,16.6,54.0,233.0,high_performance
70,30.0,M,172.7,78.0,26.6,79.0,140.0,36.9,3.4,25.0,218.0,low_performance
71,56.0,M,160.2,62.7,30.2,85.0,140.0,35.4,9.5,27.0,184.0,mid_performance
72,36.0,M,171.5,80.5,21.5,86.0,153.0,46.7,16.8,53.0,220.0,high_performance
73,60.0,M,175.1,66.5,17.3,85.0,125.0,40.4,13.9,31.0,211.0,mid_performance
74,22.0,M,172.2,70.6,24.3,70.0,118.0,36.7,9.8,50.0,213.0,low_performance
75,22.0,M,171.9,78.46,22.9,64.0,116.0,43.6,-9.3,46.0,219.0,low_performance
76,37.0,M,174.0,75.2,18.5,82.0,142.0,39.7,20.5,50.0,224.0,mid_performance
77,21.0,F,158.1,53.6,27.63524,70.0,115.0,18.9,12.4,17.0,116.0,low_performance
78,21.0,M,170.4,74.3,19.5,82.0,157.0,45.6,12.7,54.0,194.0,mid_performance
79,60.0,F,158.6,62.7,34.6,80.0,137.0,29.3,18.4,12.0,132.0,mid_performance
80,27.0,F,168.5,64.2,26.2,76.0,108.0,25.2,23.1,18.0,164.0,low_performance
81,59.0,F,156.3,60.5,33.6,79.0,130.0,29.6,22.4,23.0,135.0,high_performance
82,47.0,F,157.0,54.1,26.8,72.0,117.0,25.1,18.2,25.0,157.0,mid_performance
83,21.0,F,161.3,50.6,23.5,69.0,127.0,27.5,29.4,39.0,175.0,high_performance
84,51.0,M,177.0,68.7,18.3,84.0,140.0,39.3,11.3,35.0,220.0,mid_performance
85,48.0,M,171.0,66.2,17.3,99.0,144.0,48.8,16.0,49.0,225.0,mid_performance
86,49.0,M,170.0,66.2,18.0,82.0,130.0,39.5,20.0,39.0,156.0,mid_performance
87,41.0,F,158.1,51.0,21.7,86.0,127.0,23.1,28.6,46.0,165.0,high_performance
88,24.0,F,159.0,45.5,24.5,85.0,135.0,28.5,22.9,57.0,197.0,high_performance
89,35.0,M,178.4,79.0,15.4,73.0,127.0,52.7,14.7,68.0,260.0,high_performance
90,26.0,F,156.7,56.3,32.8,78.0,123.0,19.7,22.9,28.0,130.0,mid_performance
91,35.0,M,178.5,78.4,13.8,81.0,136.0,51.5,17.1,64.0,237.0,high_performance
92,25.0,M,171.2,65.1,11.8,67.0,127.0,45.1,22.2,54.0,239.0,high_performance
93,30.0,M,176.4,71.7,17.9,68.0,130.0,53.4,24.3,56.0,210.0,mid_performance
94,27.0,M,175.4,86.4,19.8,76.0,135.0,47.6,20.6,48.0,213.0,mid_performance
95,41.0,M,166.7,65.7,21.5,90.0,151.0,49.6,18.7,54.0,242.0,high_performance
96,50.0,F,158.4,57.2,32.0,69.0,134.0,21.1,18.6,17.0,136.0,mid_performance
97,22.0,M,175.8,72.0,30.4,75.0,115.0,34.6,19.0,54.0,188.0,mid_performance
98,56.0,M,173.0,70.9,19.5,83.0,135.0,47.9,11.1,44.0,162.0,mid_performance
99,46.0,F,159.1,52.2,27.2,84.0,127.0,22.9,17.9,30.0,136.0,low_performance
100,44.0,M,180.5,79.5,21.7,87.0,127.0,42.3,10.8,33.0,196.0,mid_performance
101,25.0,F,162.2,71.5,41.3,75.0,124.0,24.9,7.0,5.0,120.0,low_performance
102,25.0,F,156.3,48.6,26.5,73.0,138.0,22.8,29.8,41.0,155.0,high_performance
103,59.0,M,170.0,59.1,15.0,71.0,115.0,28.3,8.6,15.0,162.0,low_performance
104,30.0,M,178.4,82.5,30.0,97.0,139.0,39.3,1.9,42.0,200.0,low_performance
105,24.0,M,176.0,67.2,10.8,81.0,120.0,47.7,17.2,55.0,242.0,high_performance
106,39.0,M,168.8,70.9,25.5,83.0,128.0,33.7,5.4,33.0,201.0,low_performance
107,27.0,M,170.3,74.6,22.0,98.0,151.0,47.9,14.5,53.0,170.0,mid_performance
108,33.0,M,172.8,78.8,19.3,87.0,146.0,59.8,19.7,59.0,228.0,high_performance
109,28.0,F,163.6,52.4,20.3,72.0,118.0,31.0,23.5,23.0,130.0,mid_performance
110,28.0,F,166.2,59.7,21.9,72.0,118.0,32.1,15.6,38.0,165.0,mid_performance
111,35.0,M,179.2,64.7,12.9,88.0,128.0,49.7,22.5,46.0,239.0,high_performance
112,34.0,M,177.8,76.4,28.9,82.0,130.0,41.1,5.3,38.0,194.0,mid_performance
113,35.0,M,184.7,84.18,16.3,70.0,120.0,48.8,15.3,56.0,229.0,high_performance
114,34.0,M,173.2,73.77,19.5,80.0,120.0,50.0,18.1,59.0,218.0,mid_performance
115,25.0,M,164.3,61.18,22.0,78.0,145.0,43.3,18.6,47.0,209.0,mid_performance
116,32.0,M,169.2,68.7,15.2,80.0,120.0,48.3,21.1,64.0,254.0,mid_performance
117,21.0,F,169.1,56.1,22.6,77.0,120.0,26.3,31.3,24.0,162.0,mid_performance
118,22.0,M,183.5,76.9,15.7,86.0,143.0,40.9,22.8,56.0,253.0,high_performance
119,22.0,F,156.9,46.9,23.0,98.0,155.0,20.5,16.5,38.0,155.0,mid_performance
120,24.0,M,172.1,64.5,16.8,88.0,154.0,40.2,21.7,63.0,201.0,mid_performance
121,27.0,M,178.2,75.1,15.9,59.0,129.0,49.2,16.7,55.0,229.0,high_performance
122,21.0,F,164.4,48.1,16.9,63.0,112.0,26.5,29.4,41.0,215.0,high_performance
123,46.0,F,164.1,49.1,30.5,59.0,117.0,21.2,4.3,16.0,150.0,low_performance
124,29.0,F,162.2,51.7,29.2,83.0,118.0,29.7,23.7,44.0,183.0,high_performance
125,23.0,F,162.7,51.7,19.0,76.0,110.0,32.6,21.4,59.0,200.0,low_performance
126,51.0,M,177.9,67.2,15.8,63.0,112.0,36.6,13.7,25.0,183.0,low_performance
127,28.0,M,184.8,84.6,17.2,83.0,123.0,52.5,11.7,56.0,257.0,mid_performance
128,23.0,F,164.7,44.3,26.7,80.0,130.0,22.3,12.5,25.0,130.0,mid_performance
129,30.0,M,178.3,93.5,27.3,81.0,129.0,57.0,16.1,47.0,222.0,high_performance
130,25.0,F,160.1,51.7,30.7,71.0,126.0,25.7,21.1,47.0,159.0,high_performance
131,28.0,M,172.7,69.8,27.6,81.0,149.0,46.5,10.0,48.0,185.0,mid_performance
132,22.0,M,178.3,73.2,23.4,93.0,132.0,42.7,11.7,46.0,208.0,mid_performance
133,51.0,M,167.7,72.7,29.0,90.0,148.0,36.3,6.1,37.0,180.0,low_performance
134,24.0,F,165.1,49.9,19.3,70.0,108.0,31.8,21.6,50.0,204.0,high_performance
135,27.0,F,160.3,47.8,19.5,60.0,111.0,27.3,28.0,37.0,173.0,high_performance
136,61.0,F,153.2,62.2,37.0,71.0,111.0,25.7,3.0,0.0,58.0,low_performance
137,30.0,M,169.5,71.9,20.6,72.0,125.0,45.9,13.0,66.0,235.0,mid_performance
138,42.0,M,180.2,73.3,20.4,95.0,140.0,53.7,26.0,41.0,211.0,mid_performance
139,22.0,M,180.3,91.7,32.1,75.0,134.0,28.6,-6.9,36.0,210.0,low_performance
140,23.0,F,164.7,62.5,31.4,77.0,121.0,23.2,14.7,41.0,165.0,mid_performance
141,27.0,F,160.2,54.5,20.7,77.0,130.0,22.2,22.5,35.0,171.0,mid_performance
142,29.0,M,167.9,70.7,25.3,75.0,135.0,47.3,16.2,53.0,181.0,mid_performance
143,62.0,M,165.6,67.6,25.7,84.0,152.0,40.5,9.8,41.0,188.0,mid_performance
144,21.0,M,169.2,92.9,33.3,93.0,157.0,44.6,10.9,52.0,226.0,low_performance
145,25.0,M,184.1,74.7,12.6,94.0,141.0,49.5,13.0,49.0,243.0,mid_performance
146,31.0,F,166.9,64.1,30.5,77.0,133.0,27.5,21.5,37.0,150.0,mid_performance
147,21.0,M,175.0,66.4,16.5,77.0,124.0,39.4,13.0,54.0,248.0,mid_performance
148,38.0,M,171.6,66.3,20.5,92.0,153.0,46.0,26.2,46.0,204.0,mid_performance
149,23.0,F,178.1,64.2,29.2,55.0,102.0,29.9,14.6,27.0,126.0,mid_performance
150,56.0,M,170.1,61.5,22.0,89.0,148.0,37.7,20.5,40.0,195.0,high_performance
151,59.0,M,170.3,71.0,24.5,75.0,140.0,30.1,22.0,33.0,182.0,low_performance
152,23.0,F,164.4,54.3,21.7,61.0,109.0,27.0,31.7,44.0,186.0,high_performance
153,52.0,M,170.0,75.5,30.4,77.0,127.0,39.6,10.2,29.0,186.0,low_performance
154,33.0,M,178.0,74.66,19.0,96.0,135.0,43.1,18.6,37.0,198.0,mid_performance
155,58.0,F,154.9,51.6,24.1,85.0,132.0,25.3,19.4,31.0,165.0,mid_performance
156,21.0,F,160.9,61.4,36.5,71.0,103.0,27.3,20.8,47.0,169.0,mid_performance
157,27.0,M,176.0,72.86,18.6,78.0,155.0,39.7,10.1,53.0,231.0,mid_performance
158,27.0,M,173.5,65.3,14.3,76.0,137.0,39.1,12.1,46.0,229.0,mid_performance
159,21.0,F,163.0,62.3,32.9,75.0,131.0,33.3,12.2,44.0,167.0,mid_performance
160,57.0,M,168.5,66.0,24.1,88.0,156.0,42.1,9.5,30.0,212.0,mid_performance
161,29.0,F,166.7,52.84,15.2,74.0,125.0,30.7,29.7,48.0,186.0,high_performance
162,45.0,M,170.0,70.0,20.0,73.0,137.0,34.2,8.5,36.0,219.0,low_performance
163,24.0,F,155.5,64.4,34.8,60.0,109.0,24.7,16.7,43.0,174.0,mid_performance
164,50.0,F,163.9,52.5,19.6,89.0,151.0,25.4,18.0,26.0,171.0,mid_performance
165,60.0,M,173.0,68.4,11.4,70.0,124.0,47.1,12.3,52.0,195.0,high_performance
166,62.0,M,163.7,63.9,23.3,93.0,144.0,42.7,25.0,29.0,211.0,mid_performance
167,39.0,F,159.2,45.3,19.6,64.0,105.0,20.8,18.7,36.0,161.0,mid_performance
168,22.0,F,162.2,60.4,27.1,74.0,115.0,34.9,22.6,37.0,148.0,high_performance
169,54.0,F,156.5,52.2,30.1,72.0,117.0,20.5,13.5,16.0,110.0,mid_performance
170,48.0,M,167.2,68.5,28.2,75.0,112.0,39.2,7.0,31.0,195.0,mid_performance
171,61.0,F,160.9,63.1,30.9,83.0,130.0,27.5,21.1,27.0,140.0,high_performance
172,60.0,M,172.5,76.0,23.1,86.0,154.0,47.3,16.0,41.0,206.0,high_performance
173,27.0,M,168.6,67.2,23.7,77.0,123.0,45.0,11.6,41.0,223.0,mid_performance
174,40.0,F,162.5,51.4,22.5,91.0,143.0,26.9,26.3,36.0,174.0,high_performance
175,36.0,M,172.1,65.64,19.9,86.0,142.0,47.3,15.4,39.0,215.0,mid_performance
176,58.0,M,168.5,74.9,30.1,89.0,139.0,40.6,15.8,29.0,188.0,mid_performance
177,55.0,F,152.8,55.6,31.3,78.0,129.0,23.9,15.7,23.0,130.0,mid_performance
178,25.0,F,158.1,57.9,31.5,61.0,117.0,24.5,13.7,59.0,157.0,mid_performance
179,21.0,M,169.6,64.5,10.9,77.0,134.0,46.2,21.5,65.0,248.0,high_performance
180,23.0,F,163.8,57.5,31.7,84.0,127.0,32.9,28.8,43.0,164.0,high_performance
181,64.0,M,165.8,61.3,8.5,66.0,114.0,34.9,7.6,33.0,166.0,mid_performance
182,21.0,M,187.4,84.4,18.8,82.0,151.0,50.8,16.8,49.0,257.0,mid_performance
183,56.0,F,149.4,51.6,35.1,83.0,132.0,25.5,18.8,11.0,117.0,mid_performance
184,22.0,M,167.3,61.4,16.4,68.0,114.0,38.8,19.9,67.0,240.0,high_performance
185,28.0,F,165.4,62.0,31.1,58.0,102.0,25.0,21.7,31.0,170.0,mid_performance
186,53.0,F,152.7,46.9,27.5,68.0,126.0,23.5,18.5,20.0,152.0,mid_performance
187,23.0,M,165.7,62.7,23.2,70.0,123.0,37.7,25.5,35.0,237.0,low_performance
188,46.0,M,176.8,80.9,22.7,82.0,141.0,50.1,22.1,45.0,206.0,high_performance
189,56.0,F,148.2,54.7,37.7,85.0,125.0,22.7,10.7,0.0,134.0,low_performance
190,44.0,M,172.0,71.0,18.1,69.0,113.0,48.3,28.7,52.0,203.0,high_performance
191,27.0,M,173.8,68.4,13.9,69.0,110.0,47.8,14.1,49.0,244.0,mid_performance
192,45.0,M,166.5,71.5,26.6,99.0,160.0,47.8,24.2,47.0,201.0,high_performance
193,63.0,M,164.7,73.8,36.7,81.0,141.0,35.6,9.0,22.0,135.0,low_performance
194,26.0,M,183.4,83.6,14.1,79.0,145.0,50.6,16.0,51.0,231.0,high_performance
195,32.0,M,170.8,72.2,24.1,80.0,127.0,47.4,16.6,60.0,205.0,mid_performance
196,22.0,F,167.0,50.3,18.9,77.0,120.0,27.9,23.3,39.0,168.0,high_performance
197,21.0,M,175.0,84.7,28.0,61.0,133.0,50.9,11.6,42.0,156.0,low_performance
198,21.0,M,178.9,75.5,17.2,81.0,138.0,40.8,15.4,55.0,213.0,mid_performance
199,54.0,F,148.0,53.4,27.9,97.0,159.0,27.9,23.0,35.0,145.0,high_performance
200,21.0,M,179.0,82.8,15.4,67.0,122.0,58.9,19.9,56.0,278.0,mid_performance
201,24.0,M,163.9,64.8,23.6,94.0,141.0,39.7,13.2,47.0,224.0,mid_performance
202,31.0,M,178.0,84.66,18.9,75.0,129.0,59.2,15.1,47.0,196.0,high_performance
203,27.0,M,180.9,77.1,19.9,76.0,156.0,40.9,22.0,52.0,209.0,mid_performance
204,22.0,F,163.8,54.2,28.4,96.0,151.0,23.6,19.4,41.0,155.0,mid_performance
205,61.0,F,152.6,56.4,37.6,93.0,136.0,28.9,20.2,4.0,125.0,low_performance
206,60.0,M,171.9,60.9,16.7,78.0,128.0,33.6,10.9,28.0,190.0,mid_performance
207,41.0,F,160.0,50.0,20.6,62.0,106.0,27.4,22.6,38.0,178.0,high_performance
208,59.0,M,166.1,67.8,25.9,98.0,151.0,40.6,22.4,34.0,188.0,mid_performance
209,51.0,M,174.5,71.2,21.2,92.0,136.0,40.7,13.0,41.0,203.0,mid_performance
210,34.0,M,181.1,70.5,19.4,70.0,131.0,34.1,12.7,40.0,217.0,mid_performance
211,22.0,F,169.2,53.2,16.0,66.0,103.0,30.0,27.1,54.0,202.0,high_performance
212,22.0,F,162.1,55.1,23.2,61.0,99.0,28.5,23.1,43.0,198.0,high_performance
213,23.0,F,161.8,47.8,17.2,66.0,103.0,25.2,21.5,47.0,178.0,high_performance
214,27.0,F,152.3,55.5,37.5,81.0,126.0,16.6,16.1,37.0,113.0,low_performance
215,25.0,F,160.9,63.7,36.1,99.0,144.0,26.4,23.6,37.0,179.0,mid_performance
216,37.0,F,149.5,38.1,17.3,66.0,110.0,16.2,23.0,35.0,167.0,high_performance
217,21.0,M,170.0,50.1,16.3,67.0,124.0,28.5,6.4,44.0,210.0,mid_performance
218,31.0,M,174.0,67.6,15.6,82.0,140.0,39.3,5.1,38.0,225.0,mid_performance
219,49.0,M,176.2,73.3,22.2,88.0,147.0,45.0,9.9,33.0,223.0,mid_performance
220,27.0,M,182.5,81.0,17.8,66.0,115.0,42.0,9.1,44.0,233.0,mid_performance
221,49.0,F,155.9,57.0,23.3,67.0,104.0,25.1,17.5,25.0,110.0,mid_performance
222,36.0,F,156.6,55.0,26.6,80.0,124.0,30.1,12.5,24.0,149.0,mid_performance
223,33.0,M,179.2,76.3,23.8,85.0,126.0,32.0,8.7,36.0,188.0,low_performance
224,61.0,F,146.5,56.16,37.3,89.0,152.0,26.9,23.5,12.0,118.0,mid_performance
225,24.0,F,166.9,70.0,23.7,55.0,102.0,39.1,23.8,47.0,186.0,high_performance
226,25.0,M,168.8,63.9,26.0,81.0,131.0,38.2,20.1,49.0,215.0,mid_performance
227,28.0,F,161.4,55.9,35.2,77.0,128.0,22.4,18.1,30.0,152.0,mid_performance
228,26.0,F,162.6,57.2,32.6,69.0,116.0,26.9,20.6,43.0,128.0,high_performance
229,62.0,M,175.0,68.0,22.6,75.0,123.0,46.0,2.8,33.0,194.0,mid_performance
230,51.0,M,172.4,75.6,23.3,83.0,120.0,47.4,22.4,55.0,211.0,high_performance
231,26.0,M,180.2,103.4,24.7,70.0,128.0,67.6,16.2,46.0,219.0,mid_performance
232,21.0,F,160.7,56.6,29.2,71.0,110.0,25.6,30.1,32.0,157.0,mid_performance
233,56.0,F,149.0,46.7,23.2,95.0,157.0,25.0,28.0,41.0,186.0,high_performance
234,52.0,M,165.4,74.8,27.5,86.0,143.0,38.9,18.2,56.0,217.0,mid_performance
235,21.0,F,169.2,64.9,35.3,68.0,125.0,29.9,22.3,39.0,174.0,mid_performance
236,56.0,F,157.2,60.4,36.2,70.0,118.0,24.2,14.3,16.0,132.0,mid_performance
237,36.0,M,169.9,67.1,17.9,98.0,149.0,48.8,16.3,59.0,228.0,mid_performance
238,32.0,F,163.5,55.6,25.5,68.0,108.0,28.2,24.5,36.0,183.0,high_performance
239,21.0,F,159.9,49.7,25.4,76.0,116.0,23.4,24.3,11.0,145.0,low_performance
240,63.0,M,165.8,63.9,20.7,82.0,123.0,26.9,14.2,28.0,160.0,mid_performance
241,32.0,M,168.0,69.8,21.9,88.0,127.0,50.9,26.3,68.0,248.0,high_performance
242,28.0,M,175.1,75.5,13.8,71.0,126.0,44.5,11.4,66.0,247.0,mid_performance
243,40.0,M,169.8,84.1,25.0,93.0,132.0,57.9,19.8,40.0,220.0,mid_performance
244,26.0,F,158.8,56.9,27.6,60.0,93.0,21.8,20.8,37.0,172.0,mid_performance
245,56.0,F,156.9,49.9,35.9,67.0,128.0,12.1,1.2,20.0,118.0,low_performance
246,22.0,M,168.4,69.9,15.0,51.0,118.0,44.0,16.3,61.0,234.0,high_performance
247,29.0,M,172.7,72.6,27.5,82.0,121.0,35.0,3.3,40.0,213.0,low_performance
248,61.0,M,171.6,86.4,28.7,70.0,142.0,35.1,-2.4,12.0,162.0,low_performance
249,54.0,F,162.9,51.4,29.4,82.0,122.0,19.5,20.5,24.0,134.0,mid_performance
250,56.0,M,168.8,66.4,23.8,91.0,143.0,34.3,20.2,35.0,186.0,mid_performance
251,36.0,M,173.0,72.7,19.2,91.0,149.0,45.9,7.8,46.0,204.0,mid_performance
252,24.0,M,167.5,65.66,19.1,98.0,154.0,45.3,18.3,44.0,241.0,mid_performance
253,59.0,F,145.7,51.6,41.4,99.0,154.0,24.8,20.1,12.0,122.0,mid_performance
254,23.0,F,158.2,47.9,30.4,75.0,116.0,21.6,10.9,26.0,131.0,mid_performance
255,41.0,M,179.3,73.4,18.0,99.0,150.0,43.3,17.3,47.0,246.0,mid_performance
256,35.0,M,169.9,61.7,22.2,85.0,136.0,38.1,14.3,37.0,216.0,mid_performance
257,30.0,M,163.7,65.5,23.6,84.0,116.0,43.5,14.5,42.0,230.0,mid_performance
258,44.0,F,167.8,63.8,24.3,63.0,117.0,29.1,14.8,43.0,170.0,mid_performance
259,28.0,M,170.0,74.0,28.0,83.0,130.0,37.7,6.0,50.0,193.0,low_performance
260,22.0,M,169.5,65.0,20.1,60.0,110.0,38.1,16.2,40.0,151.0,low_performance
261,21.0,M,187.9,74.7,21.06,73.0,123.0,44.7,7.7,45.0,221.0,mid_performance
262,53.0,M,170.0,75.1,22.4,99.0,142.0,42.8,7.4,29.0,181.0,low_performance
263,21.0,F,158.4,48.9,22.7,81.0,128.0,25.0,21.4,41.0,163.0,high_performance
264,63.0,F,157.6,58.2,29.2,76.0,121.0,22.9,17.9,27.0,126.0,mid_performance
265,23.0,F,161.1,53.0,28.4,72.0,116.0,28.9,-4.4,22.0,143.0,low_performance
266,62.0,M,174.7,71.9,23.6,74.0,130.0,41.2,16.6,40.0,205.0,high_performance
267,32.0,M,179.7,90.0,29.3,96.0,151.0,49.7,1.5,50.0,216.0,low_performance
268,38.0,M,172.3,71.6,15.5,65.0,111.0,47.4,6.2,47.0,230.0,mid_performance
269,24.0,M,180.3,80.2,24.7,77.0,127.0,64.3,19.0,57.0,235.0,high_performance
270,23.0,M,183.3,79.4,19.8,79.0,136.0,48.9,23.0,48.0,199.0,mid_performance
271,63.0,M,172.4,71.66,18.9,79.0,152.0,43.1,15.8,38.0,173.0,high_performance
272,27.0,M,178.8,73.38,7.8,75.0,126.0,49.6,21.5,54.0,223.0,high_performance
273,59.0,F,158.2,54.34,29.6,74.0,133.0,25.1,28.6,42.0,148.0,high_performance
274,36.0,F,166.5,53.7,25.9,84.0,130.0,27.4,18.9,40.0,186.0,high_performance
275,34.0,F,167.5,65.8,26.0,61.0,115.0,31.0,20.5,50.0,174.0,mid_performance
276,23.0,M,180.4,90.5,26.8,70.0,120.0,46.1,4.5,42.0,185.0,low_performance
277,21.0,F,158.8,49.7,28.4,84.0,139.0,15.2,24.2,28.0,174.0,low_performance
278,24.0,M,177.0,89.9,18.9,80.0,117.0,56.8,12.7,54.0,232.0,mid_performance
