id,age,gender,height_cm,weight_kg,body_fat_%,diastolic,systolic,gripForce,sit_and_bend_forward_cm,sit-ups_counts,broad_jump_cm,y_true,y_predict,high_performance,mid_performance,low_performance
25,>55,M,160-mid-176,55-mid-79,over_30,over_89,over_144,26-mid-47,under_6,25-mid-54,under_150,mid_performance,mid_performance,0,1,0
26,46-55,F,under_160,under_55,15-mid-30,68-mid-89,115-mid-144,under_26,6-mid-23,25-mid-54,150-mid-229,low_performance,low_performance,0,0,1
27,46-55,M,160-mid-176,over_79,over_30,68-mid-89,115-mid-144,26-mid-47,under_6,under_25,150-mid-229,low_performance,low_performance,0,0,1
28,36-45,M,160-mid-176,over_79,15-mid-30,68-mid-89,115-mid-144,26-mid-47,6-mid-23,25-mid-54,over_229,mid_performance,mid_performance,0,1,0
29,46-55,F,under_160,55-mid-79,15-mid-30,under_68,under_115,26-mid-47,over_23,25-mid-54,under_150,high_performance,high_performance,1,0,0
30,<25,M,160-mid-176,55-mid-79,under_15,68-mid-89,115-mid-144,26-mid-47,over_23,25-mid-54,over_229,mid_performance,mid_performance,0,1,0
31,26-35,M,160-mid-176,55-mid-79,15-mid-30,under_68,115-mid-144,over_47,6-mid-23,25-mid-54,150-mid-229,mid_performance,mid_performance,0,1,0
32,26-35,F,under_160,under_55,15-mid-30,68-mid-89,115-mid-144,26-mid-47,6-mid-23,25-mid-54,under_150,high_performance,high_performance,1,0,0
33,26-35,M,160-mid-176,over_79,15-mid-30,over_89,over_144,26-mid-47,under_6,25-mid-54,150-mid-229,low_performance,low_performance,0,0,1
34,46-55,F,under_160,under_55,15-mid-30,68-mid-89,115-mid-144,under_26,6-mid-23,25-mid-54,150-mid-229,mid_performance,mid_performance,0,1,0
35,36-45,M,over_176,over_79,15-mid-30,over_89,115-mid-144,over_47,6-mid-23,25-mid-54,150-mid-229,mid_performance,mid_performance,0,1,0
36,<25,M,160-mid-176,55-mid-79,under_15,68-mid-89,115-mid-144,over_47,under_6,25-mid-54,150-mid-229,low_performance,mid_performance,0,1,0
37,26-35,M,over_176,over_79,15-mid-30,over_89,over_144,over_47,6-mid-23,over_54,150-mid-229,high_performance,high_performance,1,0,0
38,26-35,M,over_176,over_79,15-mid-30,under_68,115-mid-144,over_47,6-mid-23,over_54,over_229,high_performance,high_performance,1,0,0
39,26-35,M,over_176,over_79,15-mid-30,under_68,under_115,over_47,under_6,over_54,150-mid-229,low_performance,low_performance,0,0,1
40,36-45,M,160-mid-176,55-mid-79,under_15,over_89,over_144,26-mid-47,under_6,25-mid-54,over_229,low_performance,low_performance,0,0,1
41,46-55,M,160-mid-176,over_79,15-mid-30,over_89,115-mid-144,26-mid-47,6-mid-23,25-mid-54,150-mid-229,low_performance,low_performance,0,0,1
42,36-45,M,160-mid-176,55-mid-79,15-mid-30,68-mid-89,115-mid-144,26-mid-47,6-mid-23,25-mid-54,150-mid-229,mid_performance,mid_performance,0,1,0
43,26-35,F,under_160,55-mid-79,over_30,under_68,under_115,under_26,6-mid-23,under_25,under_150,mid_performance,mid_performance,0,1,0
44,<25,F,160-mid-176,55-mid-79,15-mid-30,68-mid-89,under_115,26-mid-47,over_23,25-mid-54,150-mid-229,high_performance,high_performance,1,0,0
45,26-35,M,160-mid-176,55-mid-79,15-mid-30,over_89,over_144,26-mid-47,6-mid-23,25-mid-54,over_229,low_performance,low_performance,0,0,1
46,26-35,M,over_176,55-mid-79,15-mid-30,68-mid-89,115-mid-144,26-mid-47,6-mid-23,over_54,150-mid-229,mid_performance,mid_performance,0,1,0
47,26-35,M,160-mid-176,55-mid-79,15-mid-30,under_68,under_115,under_26,under_6,25-mid-54,150-mid-229,low_performance,low_performance,0,0,1
48,26-35,M,over_176,over_79,under_15,68-mid-89,over_144,over_47,6-mid-23,over_54,over_229,high_performance,high_performance,1,0,0
49,>55,M,160-mid-176,55-mid-79,15-mid-30,over_89,over_144,26-mid-47,6-mid-23,25-mid-54,150-mid-229,mid_performance,high_performance,1,0,0
50,46-55,M,160-mid-176,55-mid-79,under_15,over_89,over_144,over_47,over_23,over_54,over_229,high_performance,high_performance,1,0,0
51,<25,M,over_176,55-mid-79,under_15,68-mid-89,115-mid-144,26-mid-47,6-mid-23,over_54,over_229,high_performance,high_performance,1,0,0
52,36-45,F,under_160,under_55,15-mid-30,under_68,under_115,under_26,6-mid-23,under_25,under_150,mid_performance,mid_performance,0,1,0
53,36-45,F,160-mid-176,55-mid-79,over_30,68-mid-89,115-mid-144,26-mid-47,6-mid-23,25-mid-54,150-mid-229,mid_performance,mid_performance,0,1,0
54,<25,F,under_160,under_55,over_30,68-mid-89,115-mid-144,under_26,under_6,under_25,under_150,low_performance,low_performance,0,0,1
55,>55,M,160-mid-176,55-mid-79,15-mid-30,over_89,over_144,26-mid-47,6-mid-23,25-mid-54,150-mid-229,mid_performance,mid_performance,0,1,0
56,<25,M,160-mid-176,55-mid-79,15-mid-30,under_68,under_115,26-mid-47,6-mid-23,25-mid-54,over_229,mid_performance,mid_performance,0,1,0
57,>55,F,under_160,under_55,over_30,68-mid-89,115-mid-144,under_26,6-mid-23,under_25,under_150,mid_performance,mid_performance,0,1,0
58,36-45,M,160-mid-176,over_79,over_30,68-mid-89,115-mid-144,over_47,under_6,under_25,150-mid-229,low_performance,low_performance,0,0,1
59,36-45,M,over_176,over_79,15-mid-30,over_89,115-mid-144,26-mid-47,6-mid-23,under_25,150-mid-229,low_performance,low_performance,0,0,1
60,36-45,M,160-mid-176,55-mid-79,15-mid-30,68-mid-89,115-mid-144,26-mid-47,6-mid-23,25-mid-54,over_229,mid_performance,mid_performance,0,1,0
61,26-35,M,160-mid-176,over_79,15-mid-30,over_89,over_144,26-mid-47,6-mid-23,over_54,150-mid-229,low_performance,low_performance,0,0,1
62,36-45,F,160-mid-176,under_55,15-mid-30,68-mid-89,115-mid-144,under_26,6-mid-23,25-mid-54,150-mid-229,mid_performance,mid_performance,0,1,0
63,<25,F,160-mid-176,55-mid-79,15-mid-30,68-mid-89,115-mid-144,26-mid-47,over_23,25-mid-54,150-mid-229,high_performance,high_performance,1,0,0
64,>55,F,160-mid-176,55-mid-79,over_30,68-mid-89,115-mid-144,under_26,over_23,25-mid-54,under_150,mid_performance,mid_performance,0,1,0
65,>55,M,160-mid-176,55-mid-79,over_30,under_68,115-mid-144,26-mid-47,under_6,under_25,under_150,low_performance,low_performance,0,0,1
66,36-45,M,160-mid-176,55-mid-79,15-mid-30,68-mid-89,115-mid-144,over_47,6-mid-23,25-mid-54,150-mid-229,mid_performance,mid_performance,0,1,0
67,26-35,F,under_160,55-mid-79,over_30,under_68,under_115,26-mid-47,6-mid-23,under_25,150-mid-229,low_performance,low_performance,0,0,1
68,>55,F,160-mid-176,55-mid-79,over_30,under_68,under_115,26-mid-47,6-mid-23,under_25,under_150,mid_performance,mid_performance,0,1,0
69,26-35,M,over_176,55-mid-79,under_15,68-mid-89,115-mid-144,over_47,6-mid-23,25-mid-54,over_229,high_performance,high_performance,1,0,0
70,26-35,M,160-mid-176,55-mid-79,15-mid-30,68-mid-89,115-mid-144,26-mid-47,under_6,under_25,150-mid-229,low_performance,low_performance,0,0,1
71,>55,M,160-mid-176,55-mid-79,15-mid-30,68-mid-89,115-mid-144,26-mid-47,6-mid-23,25-mid-54,150-mid-229,mid_performance,mid_performance,0,1,0
72,36-45,M,160-mid-176,over_79,15-mid-30,68-mid-89,over_144,26-mid-47,6-mid-23,25-mid-54,150-mid-229,high_performance,high_performance,1,0,0
73,>55,M,160-mid-176,55-mid-79,15-mid-30,68-mid-89,115-mid-144,26-mid-47,6-mid-23,25-mid-54,150-mid-229,mid_performance,mid_performance,0,1,0
74,<25,M,160-mid-176,55-mid-79,15-mid-30,68-mid-89,115-mid-144,26-mid-47,6-mid-23,25-mid-54,150-mid-229,low_performance,low_performance,0,0,1
75,<25,M,160-mid-176,55-mid-79,15-mid-30,under_68,115-mid-144,26-mid-47,under_6,25-mid-54,150-mid-229,low_performance,low_performance,0,0,1
76,36-45,M,160-mid-176,55-mid-79,15-mid-30,68-mid-89,115-mid-144,26-mid-47,6-mid-23,25-mid-54,150-mid-229,mid_performance,mid_performance,0,1,0
77,<25,F,under_160,under_55,15-mid-30,68-mid-89,under_115,under_26,6-mid-23,under_25,under_150,low_performance,low_performance,0,0,1
78,<25,M,160-mid-176,55-mid-79,15-mid-30,68-mid-89,over_144,26-mid-47,6-mid-23,25-mid-54,150-mid-229,mid_performance,mid_performance,0,1,0
79,>55,F,under_160,55-mid-79,over_30,68-mid-89,115-mid-144,26-mid-47,6-mid-23,under_25,under_150,mid_performance,mid_performance,0,1,0
80,26-35,F,160-mid-176,55-mid-79,15-mid-30,68-mid-89,under_115,under_26,6-mid-23,under_25,150-mid-229,low_performance,low_performance,0,0,1
81,>55,F,under_160,55-mid-79,over_30,68-mid-89,115-mid-144,26-mid-47,6-mid-23,under_25,under_150,high_performance,high_performance,1,0,0
82,46-55,F,under_160,under_55,15-mid-30,68-mid-89,115-mid-144,under_26,6-mid-23,under_25,150-mid-229,mid_performance,mid_performance,0,1,0
83,<25,F,160-mid-176,under_55,15-mid-30,68-mid-89,115-mid-144,26-mid-47,over_23,25-mid-54,150-mid-229,high_performance,high_performance,1,0,0
84,46-55,M,over_176,55-mid-79,15-mid-30,68-mid-89,115-mid-144,26-mid-47,6-mid-23,25-mid-54,150-mid-229,mid_performance,mid_performance,0,1,0
85,46-55,M,160-mid-176,55-mid-79,15-mid-30,over_89,115-mid-144,over_47,6-mid-23,25-mid-54,150-mid-229,mid_performance,mid_performance,0,1,0
86,46-55,M,160-mid-176,55-mid-79,15-mid-30,68-mid-89,115-mid-144,26-mid-47,6-mid-23,25-mid-54,150-mid-229,mid_performance,mid_performance,0,1,0
87,36-45,F,under_160,under_55,15-mid-30,68-mid-89,115-mid-144,under_26,over_23,25-mid-54,150-mid-229,high_performance,high_performance,1,0,0
88,<25,F,under_160,under_55,15-mid-30,68-mid-89,115-mid-144,26-mid-47,6-mid-23,over_54,150-mid-229,high_performance,high_performance,1,0,0
89,26-35,M,over_176,55-mid-79,under_15,68-mid-89,115-mid-144,over_47,6-mid-23,over_54,over_229,high_performance,high_performance,1,0,0
90,26-35,F,under_160,55-mid-79,over_30,68-mid-89,115-mid-144,under_26,6-mid-23,25-mid-54,under_150,mid_performance,mid_performance,0,1,0
91,26-35,M,over_176,55-mid-79,under_15,68-mid-89,115-mid-144,over_47,6-mid-23,over_54,over_229,high_performance,high_performance,1,0,0
92,<25,M,160-mid-176,55-mid-79,under_15,under_68,115-mid-144,26-mid-47,6-mid-23,25-mid-54,over_229,high_performance,high_performance,1,0,0
93,26-35,M,160-mid-176,55-mid-79,15-mid-30,under_68,115-mid-144,over_47,over_23,over_54,150-mid-229,mid_performance,mid_performance,0,1,0
94,26-35,M,160-mid-176,over_79,15-mid-30,68-mid-89,115-mid-144,over_47,6-mid-23,25-mid-54,150-mid-229,mid_performance,mid_performance,0,1,0
95,36-45,M,160-mid-176,55-mid-79,15-mid-30,over_89,over_144,over_47,6-mid-23,25-mid-54,over_229,high_performance,high_performance,1,0,0
96,46-55,F,under_160,55-mid-79,over_30,68-mid-89,115-mid-144,under_26,6-mid-23,under_25,under_150,mid_performance,mid_performance,0,1,0
97,<25,M,160-mid-176,55-mid-79,15-mid-30,68-mid-89,under_115,26-mid-47,6-mid-23,25-mid-54,150-mid-229,mid_performance,mid_performance,0,1,0
98,>55,M,160-mid-176,55-mid-79,15-mid-30,68-mid-89,115-mid-144,over_47,6-mid-23,25-mid-54,150-mid-229,mid_performance,mid_performance,0,1,0
99,46-55,F,under_160,under_55,15-mid-30,68-mid-89,115-mid-144,under_26,6-mid-23,25-mid-54,under_150,low_performance,low_performance,0,0,1
100,36-45,M,over_176,over_79,15-mid-30,68-mid-89,115-mid-144,26-mid-47,6-mid-23,25-mid-54,150-mid-229,mid_performance,mid_performance,0,1,0
101,<25,F,160-mid-176,55-mid-79,over_30,68-mid-89,115-mid-144,under_26,6-mid-23,under_25,under_150,low_performance,low_performance,0,0,1
102,<25,F,under_160,under_55,15-mid-30,68-mid-89,115-mid-144,under_26,over_23,25-mid-54,150-mid-229,high_performance,high_performance,1,0,0
103,>55,M,160-mid-176,55-mid-79,under_15,68-mid-89,under_115,26-mid-47,6-mid-23,under_25,150-mid-229,low_performance,low_performance,0,0,1
104,26-35,M,over_176,over_79,15-mid-30,over_89,115-mid-144,26-mid-47,under_6,25-mid-54,150-mid-229,low_performance,low_performance,0,0,1
105,<25,M,160-mid-176,55-mid-79,under_15,68-mid-89,115-mid-144,over_47,6-mid-23,over_54,over_229,high_performance,high_performance,1,0,0
106,36-45,M,160-mid-176,55-mid-79,15-mid-30,68-mid-89,115-mid-144,26-mid-47,under_6,25-mid-54,150-mid-229,low_performance,low_performance,0,0,1
107,26-35,M,160-mid-176,55-mid-79,15-mid-30,over_89,over_144,over_47,6-mid-23,25-mid-54,150-mid-229,mid_performance,mid_performance,0,1,0
108,26-35,M,160-mid-176,55-mid-79,15-mid-30,68-mid-89,over_144,over_47,6-mid-23,over_54,150-mid-229,high_performance,high_performance,1,0,0
109,26-35,F,160-mid-176,under_55,15-mid-30,68-mid-89,115-mid-144,26-mid-47,6-mid-23,under_25,under_150,mid_performance,mid_performance,0,1,0
110,26-35,F,160-mid-176,55-mid-79,15-mid-30,68-mid-89,115-mid-144,26-mid-47,6-mid-23,25-mid-54,150-mid-229,mid_performance,mid_performance,0,1,0
111,26-35,M,over_176,55-mid-79,under_15,68-mid-89,115-mid-144,over_47,6-mid-23,25-mid-54,over_229,high_performance,high_performance,1,0,0
112,26-35,M,over_176,55-mid-79,15-mid-30,68-mid-89,115-mid-144,26-mid-47,under_6,25-mid-54,150-mid-229,mid_performance,mid_performance,0,1,0
113,26-35,M,over_176,over_79,15-mid-30,68-mid-89,115-mid-144,over_47,6-mid-23,over_54,150-mid-229,high_performance,high_performance,1,0,0
114,26-35,M,160-mid-176,55-mid-79,15-mid-30,68-mid-89,115-mid-144,over_47,6-mid-23,over_54,150-mid-229,mid_performance,mid_performance,0,1,0
115,<25,M,160-mid-176,55-mid-79,15-mid-30,68-mid-89,over_144,26-mid-47,6-mid-23,25-mid-54,150-mid-229,mid_performance,mid_performance,0,1,0
116,26-35,M,160-mid-176,55-mid-79,under_15,68-mid-89,115-mid-144,over_47,6-mid-23,over_54,over_229,mid_performance,mid_performance,0,1,0
117,<25,F,160-mid-176,55-mid-79,15-mid-30,68-mid-89,115-mid-144,under_26,over_23,under_25,150-mid-229,mid_performance,mid_performance,0,1,0
118,<25,M,over_176,55-mid-79,under_15,68-mid-89,115-mid-144,26-mid-47,6-mid-23,over_54,over_229,high_performance,high_performance,1,0,0
119,<25,F,under_160,under_55,15-mid-30,over_89,over_144,under_26,6-mid-23,25-mid-54,150-mid-229,mid_performance,mid_performance,0,1,0
120,<25,M,160-mid-176,55-mid-79,15-mid-30,68-mid-89,over_144,26-mid-47,6-mid-23,over_54,150-mid-229,mid_performance,mid_performance,0,1,0
121,26-35,M,over_176,55-mid-79,under_15,under_68,115-mid-144,over_47,6-mid-23,over_54,150-mid-229,high_performance,high_performance,1,0,0
122,<25,F,160-mid-176,under_55,15-mid-30,under_68,under_115,26-mid-47,over_23,25-mid-54,150-mid-229,high_performance,high_performance,1,0,0
123,46-55,F,160-mid-176,under_55,over_30,under_68,115-mid-144,under_26,under_6,under_25,under_150,low_performance,low_performance,0,0,1
124,26-35,F,160-mid-176,under_55,15-mid-30,68-mid-89,115-mid-144,26-mid-47,over_23,25-mid-54,150-mid-229,high_performance,high_performance,1,0,0
125,<25,F,160-mid-176,under_55,15-mid-30,68-mid-89,under_115,26-mid-47,6-mid-23,over_54,150-mid-229,low_performance,low_performance,0,0,1
126,46-55,M,over_176,55-mid-79,under_15,under_68,under_115,26-mid-47,6-mid-23,under_25,150-mid-229,low_performance,low_performance,0,0,1
127,26-35,M,over_176,over_79,15-mid-30,68-mid-89,115-mid-144,over_47,6-mid-23,over_54,over_229,mid_performance,mid_performance,0,1,0
128,<25,F,160-mid-176,under_55,15-mid-30,68-mid-89,115-mid-144,under_26,6-mid-23,under_25,under_150,mid_performance,mid_performance,0,1,0
129,26-35,M,over_176,over_79,15-mid-30,68-mid-89,115-mid-144,over_47,6-mid-23,25-mid-54,150-mid-229,high_performance,high_performance,1,0,0
130,<25,F,under_160,under_55,over_30,68-mid-89,115-mid-144,under_26,6-mid-23,25-mid-54,150-mid-229,high_performance,high_performance,1,0,0
131,26-35,M,160-mid-176,55-mid-79,15-mid-30,68-mid-89,over_144,26-mid-47,6-mid-23,25-mid-54,150-mid-229,mid_performance,mid_performance,0,1,0
132,<25,M,over_176,55-mid-79,15-mid-30,over_89,115-mid-144,26-mid-47,6-mid-23,25-mid-54,150-mid-229,mid_performance,mid_performance,0,1,0
133,46-55,M,160-mid-176,55-mid-79,15-mid-30,over_89,over_144,26-mid-47,under_6,25-mid-54,150-mid-229,low_performance,low_performance,0,0,1
134,<25,F,160-mid-176,under_55,15-mid-30,68-mid-89,under_115,26-mid-47,6-mid-23,25-mid-54,150-mid-229,high_performance,high_performance,1,0,0
135,26-35,F,160-mid-176,under_55,15-mid-30,under_68,under_115,26-mid-47,over_23,25-mid-54,150-mid-229,high_performance,high_performance,1,0,0
136,>55,F,under_160,55-mid-79,over_30,68-mid-89,under_115,under_26,under_6,under_25,under_150,low_performance,low_performance,0,0,1
137,26-35,M,160-mid-176,55-mid-79,15-mid-30,68-mid-89,115-mid-144,26-mid-47,6-mid-23,over_54,over_229,mid_performance,mid_performance,0,1,0
138,36-45,M,over_176,55-mid-79,15-mid-30,over_89,115-mid-144,over_47,over_23,25-mid-54,150-mid-229,mid_performance,mid_performance,0,1,0
139,<25,M,over_176,over_79,over_30,68-mid-89,115-mid-144,26-mid-47,under_6,25-mid-54,150-mid-229,low_performance,low_performance,0,0,1
140,<25,F,160-mid-176,55-mid-79,over_30,68-mid-89,115-mid-144,under_26,6-mid-23,25-mid-54,150-mid-229,mid_performance,mid_performance,0,1,0
141,26-35,F,160-mid-176,under_55,15-mid-30,68-mid-89,115-mid-144,under_26,6-mid-23,25-mid-54,150-mid-229,mid_performance,mid_performance,0,1,0
142,26-35,M,160-mid-176,55-mid-79,15-mid-30,68-mid-89,115-mid-144,26-mid-47,6-mid-23,25-mid-54,150-mid-229,mid_performance,mid_performance,0,1,0
143,>55,M,160-mid-176,55-mid-79,15-mid-30,68-mid-89,over_144,26-mid-47,6-mid-23,25-mid-54,150-mid-229,mid_performance,mid_performance,0,1,0
144,<25,M,160-mid-176,over_79,over_30,over_89,over_144,26-mid-47,6-mid-23,25-mid-54,150-mid-229,low_performance,low_performance,0,0,1
145,<25,M,over_176,55-mid-79,under_15,over_89,115-mid-144,over_47,6-mid-23,25-mid-54,over_229,mid_performance,mid_performance,0,1,0
146,26-35,F,160-mid-176,55-mid-79,over_30,68-mid-89,115-mid-144,26-mid-47,6-mid-23,25-mid-54,under_150,mid_performance,mid_performance,0,1,0
147,<25,M,160-mid-176,55-mid-79,15-mid-30,68-mid-89,115-mid-144,26-mid-47,6-mid-23,25-mid-54,over_229,mid_performance,mid_performance,0,1,0
148,36-45,M,160-mid-176,55-mid-79,15-mid-30,over_89,over_144,26-mid-47,over_23,25-mid-54,150-mid-229,mid_performance,mid_performance,0,1,0
149,<25,F,over_176,55-mid-79,15-mid-30,under_68,under_115,26-mid-47,6-mid-23,25-mid-54,under_150,mid_performance,mid_performance,0,1,0
150,>55,M,160-mid-176,55-mid-79,15-mid-30,68-mid-89,over_144,26-mid-47,6-mid-23,25-mid-54,150-mid-229,high_performance,high_performance,1,0,0
151,>55,M,160-mid-176,55-mid-79,15-mid-30,68-mid-89,115-mid-144,26-mid-47,6-mid-23,25-mid-54,150-mid-229,low_performance,low_performance,0,0,1
152,<25,F,160-mid-176,under_55,15-mid-30,under_68,under_115,26-mid-47,over_23,25-mid-54,150-mid-229,high_performance,high_performance,1,0,0
153,46-55,M,160-mid-176,55-mid-79,15-mid-30,68-mid-89,115-mid-144,26-mid-47,6-mid-23,25-mid-54,150-mid-229,low_performance,low_performance,0,0,1
154,26-35,M,over_176,55-mid-79,15-mid-30,over_89,115-mid-144,26-mid-47,6-mid-23,25-mid-54,150-mid-229,mid_performance,mid_performance,0,1,0
155,>55,F,under_160,under_55,15-mid-30,68-mid-89,115-mid-144,under_26,6-mid-23,25-mid-54,150-mid-229,mid_performance,mid_performance,0,1,0
156,<25,F,160-mid-176,55-mid-79,over_30,68-mid-89,under_115,26-mid-47,6-mid-23,25-mid-54,150-mid-229,mid_performance,mid_performance,0,1,0
157,26-35,M,160-mid-176,55-mid-79,15-mid-30,68-mid-89,over_144,26-mid-47,6-mid-23,25-mid-54,over_229,mid_performance,mid_performance,0,1,0
158,26-35,M,160-mid-176,55-mid-79,under_15,68-mid-89,115-mid-144,26-mid-47,6-mid-23,25-mid-54,150-mid-229,mid_performance,mid_performance,0,1,0
159,<25,F,160-mid-176,55-mid-79,over_30,68-mid-89,115-mid-144,26-mid-47,6-mid-23,25-mid-54,150-mid-229,mid_performance,mid_performance,0,1,0
160,>55,M,160-mid-176,55-mid-79,15-mid-30,68-mid-89,over_144,26-mid-47,6-mid-23,25-mid-54,150-mid-229,mid_performance,mid_performance,0,1,0
161,26-35,F,160-mid-176,under_55,under_15,68-mid-89,115-mid-144,26-mid-47,over_23,25-mid-54,150-mid-229,high_performance,high_performance,1,0,0
162,36-45,M,160-mid-176,55-mid-79,15-mid-30,68-mid-89,115-mid-144,26-mid-47,6-mid-23,25-mid-54,150-mid-229,low_performance,low_performance,0,0,1
163,<25,F,under_160,55-mid-79,over_30,under_68,under_115,under_26,6-mid-23,25-mid-54,150-mid-229,mid_performance,mid_performance,0,1,0
164,46-55,F,160-mid-176,under_55,15-mid-30,68-mid-89,over_144,under_26,6-mid-23,25-mid-54,150-mid-229,mid_performance,mid_performance,0,1,0
165,>55,M,160-mid-176,55-mid-79,under_15,68-mid-89,115-mid-144,26-mid-47,6-mid-23,25-mid-54,150-mid-229,high_performance,high_performance,1,0,0
166,>55,M,160-mid-176,55-mid-79,15-mid-30,over_89,115-mid-144,26-mid-47,over_23,25-mid-54,150-mid-229,mid_performance,mid_performance,0,1,0
167,36-45,F,under_160,under_55,15-mid-30,under_68,under_115,under_26,6-mid-23,25-mid-54,150-mid-229,mid_performance,mid_performance,0,1,0
168,<25,F,160-mid-176,55-mid-79,15-mid-30,68-mid-89,under_115,26-mid-47,6-mid-23,25-mid-54,under_150,high_performance,high_performance,1,0,0
169,46-55,F,under_160,under_55,15-mid-30,68-mid-89,115-mid-144,under_26,6-mid-23,under_25,under_150,mid_performance,mid_performance,0,1,0
170,46-55,M,160-mid-176,55-mid-79,15-mid-30,68-mid-89,under_115,26-mid-47,6-mid-23,25-mid-54,150-mid-229,mid_performance,mid_performance,0,1,0
171,>55,F,160-mid-176,55-mid-79,over_30,68-mid-89,115-mid-144,26-mid-47,6-mid-23,25-mid-54,under_150,high_performance,high_performance,1,0,0
172,>55,M,160-mid-176,55-mid-79,15-mid-30,68-mid-89,over_144,26-mid-47,6-mid-23,25-mid-54,150-mid-229,high_performance,high_performance,1,0,0
173,26-35,M,160-mid-176,55-mid-79,15-mid-30,68-mid-89,115-mid-144,26-mid-47,6-mid-23,25-mid-54,150-mid-229,mid_performance,mid_performance,0,1,0
174,36-45,F,160-mid-176,under_55,15-mid-30,over_89,115-mid-144,26-mid-47,over_23,25-mid-54,150-mid-229,high_performance,high_performance,1,0,0
