id,age,fare,family_size,embarked,sex,pclass,title,is_alone,target,reliability
879,0.45,0.25,0.0,S,male,3.0,Mr,1.0,no_survivor,0.98
881,0.25,0.25,0.0,S,male,3.0,Mr,1.0,survivor,0.18
887,0.45,0.35,0.0,S,male,3.0,Mr,1.0,survivor,0.5
894,0.05,0.45,2.0,S,male,3.0,Mr,0.0,survivor,1.0
896,0.95,0.05,0.0,S,male,3.0,Mr,1.0,no_survivor,1.0
905,0.65,0.25,0.0,S,male,3.0,Mr,1.0,survivor,0.19
923,0.75,0.15,0.0,Q,female,3.0,Mrs,1.0,survivor,0.86
955,0.95,0.75,4.0,S,female,3.0,Mrs,0.0,no_survivor,1.0
958,0.95,0.75,4.0,S,female,3.0,Mrs,0.0,no_survivor,1.0
963,0.75,0.05,0.0,S,male,3.0,Mr,1.0,no_survivor,1.0
973,0.55,0.15,0.0,S,male,3.0,Mr,1.0,no_survivor,0.93
979,0.95,0.15,0.0,S,male,3.0,Mr,1.0,no_survivor,1.0
984,0.75,0.15,0.0,Q,female,3.0,Mrs,1.0,survivor,0.86
1018,0.45,0.25,0.0,S,male,3.0,Mr,1.0,no_survivor,0.98
1020,0.25,0.25,0.0,S,male,3.0,Mr,1.0,no_survivor,0.82
1021,0.55,0.25,0.0,S,male,3.0,Mr,1.0,no_survivor,0.92
1036,0.15,0.55,2.0,C,female,3.0,Mrs,0.0,survivor,0.5
1062,0.25,0.25,0.0,S,male,3.0,Mr,1.0,no_survivor,0.82
1084,0.85,0.35,1.0,S,male,3.0,Mr,1.0,no_survivor,1.0
1156,0.05,0.65,2.0,S,female,3.0,Mrs,0.0,no_survivor,0.25
1160,0.95,0.25,0.0,S,male,3.0,Mr,1.0,no_survivor,0.8
1172,0.75,0.95,10.0,S,female,3.0,Mrs,0.0,no_survivor,1.0
1178,0.75,0.95,10.0,S,male,3.0,Mr,0.0,no_survivor,1.0
1180,0.75,0.95,10.0,S,female,3.0,Mrs,0.0,no_survivor,1.0
1207,0.15,0.75,5.0,S,male,3.0,Mr,0.0,no_survivor,1.0
1216,0.25,0.15,0.0,Q,female,3.0,Mrs,1.0,survivor,0.67
1221,0.45,0.25,0.0,S,male,3.0,Mr,1.0,no_survivor,0.98
1234,0.45,0.15,0.0,S,male,3.0,Mr,1.0,no_survivor,0.8
1247,0.65,0.65,1.0,S,female,3.0,Mrs,1.0,survivor,0.67
1260,0.15,0.45,0.0,S,female,3.0,Mrs,1.0,survivor,1.0
1269,0.65,0.45,0.0,S,male,3.0,Mr,1.0,no_survivor,0.67
1283,0.55,0.15,0.0,S,male,3.0,Mr,1.0,no_survivor,0.93
1291,0.35,0.35,0.0,S,male,3.0,Mr,1.0,no_survivor,1.0
1301,0.95,0.15,0.0,C,male,3.0,Mr,1.0,no_survivor,1.0
