id,Gender,Age_range,Ethnicity,MaritalStatus,c_charge_degree,c_charge_desc,is_recid,is_violent_recid,score_risk_recidivism,score_text_risk_recidivism,score_risk_violence,score_text_risk_violence,Low_Recid,Medium_Recid,High_Recid,No_Recid,Recid,y_predict,y_true
29,Male,Greater than 45,Caucasian,Married,M,DUI Level 0.15 Or Minor In Veh,NO,NO,1,Low,1,Low,1,0,0,1,0,No_Recid,No_Recid
30,Male,25 - 45,African-American,Other,F,Tampering With Physical Evidence,NO,NO,4,Low,3,Low,1,0,0,1,0,No_Recid,No_Recid
31,Female,25 - 45,Other,Single,F,Grand Theft in the 3rd Degree,NO,NO,2,Low,2,Low,1,0,0,1,0,No_Recid,No_Recid
33,Male,25 - 45,African-American,Single,F,Attempt Armed Burglary Dwell,YES,NO,5,Medium,7,Medium,0,1,0,1,0,No_Recid,No_Recid
34,Male,25 - 45,Hispanic,Single,M,Possess Cannabis/20 Grams Or Less,NO,NO,7,Medium,3,Low,0,1,0,1,0,Recid,No_Recid
35,Male,Greater than 45,African-American,Married,M,Battery,NO,NO,1,Low,1,Low,1,0,0,1,0,No_Recid,No_Recid
36,Male,Greater than 45,Caucasian,Single,F,arrest case no charge,NO,NO,5,Medium,2,Low,0,1,0,1,0,No_Recid,No_Recid
37,Male,25 - 45,African-American,Single,F,Driving While License Revoked,NO,NO,3,Low,2,Low,1,0,0,1,0,No_Recid,No_Recid
38,Male,25 - 45,African-American,Other,F,Driving While License Revoked,NO,NO,3,Low,2,Low,1,0,0,1,0,No_Recid,No_Recid
39,Male,Greater than 45,Hispanic,Other,M,Unlaw LicTag/Sticker Attach,NO,NO,1,Low,1,Low,1,0,0,1,0,No_Recid,No_Recid
40,Male,25 - 45,Other,Single,M,Battery,NO,NO,1,Low,1,Low,1,0,0,1,0,No_Recid,No_Recid
41,Female,Greater than 45,African-American,Separated,M,Battery,NO,NO,1,Low,1,Low,1,0,0,1,0,No_Recid,No_Recid
42,Male,Greater than 45,Hispanic,Single,F,Possession of Cocaine,YES,YES,1,Low,1,Low,1,0,0,0,1,No_Recid,Recid
43,Male,Less than 25,Hispanic,Other,F,Burglary Structure Unoccup,NO,NO,4,Low,6,Medium,1,0,0,1,0,No_Recid,No_Recid
44,Male,25 - 45,African-American,Single,M,arrest case no charge,NO,NO,4,Low,2,Low,1,0,0,1,0,No_Recid,No_Recid
45,Male,25 - 45,African-American,Single,F,arrest case no charge,NO,NO,2,Low,1,Low,1,0,0,1,0,No_Recid,No_Recid
46,Male,Less than 25,Caucasian,Single,F,Grand Theft in the 3rd Degree,NO,NO,8,High,6,Medium,0,0,1,1,0,Recid,No_Recid
47,Female,25 - 45,African-American,Single,F,Poss Cocaine/Intent To Del/Sel,YES,YES,4,Low,3,Low,1,0,0,0,1,No_Recid,Recid
49,Male,25 - 45,African-American,Other,F,Felony Battery (Dom Strang),NO,NO,2,Low,1,Low,1,0,0,1,0,No_Recid,No_Recid
50,Male,25 - 45,African-American,Single,M,arrest case no charge,NO,NO,2,Low,2,Low,1,0,0,1,0,No_Recid,No_Recid
51,Male,25 - 45,African-American,Single,M,Possess Cannabis/20 Grams Or Less,YES,YES,10,High,9,High,0,0,1,0,1,Recid,Recid
52,Male,25 - 45,African-American,Single,F,arrest case no charge,YES,YES,10,High,10,High,0,0,1,0,1,Recid,Recid
53,Male,Less than 25,Other,Single,F,Tampering With Physical Evidence,YES,YES,5,Medium,8,High,0,1,0,0,1,No_Recid,Recid
54,Female,25 - 45,African-American,Single,M,arrest case no charge,NO,NO,2,Low,1,Low,1,0,0,1,0,No_Recid,No_Recid
55,Male,25 - 45,Caucasian,Single,F,Pos Cannabis W/Intent Sel/Del,YES,YES,8,High,9,High,0,0,1,0,1,Recid,Recid
57,Female,Less than 25,Caucasian,Single,F,"Poss3,4 Methylenedioxymethcath",NO,NO,7,Medium,8,High,0,1,0,1,0,Recid,No_Recid
59,Female,Greater than 45,Caucasian,Separated,M,DUI Level 0.15 Or Minor In Veh,NO,NO,1,Low,1,Low,1,0,0,1,0,No_Recid,No_Recid
60,Female,Greater than 45,Caucasian,Single,M,DUI Level 0.15 Or Minor In Veh,NO,NO,1,Low,1,Low,1,0,0,1,0,No_Recid,No_Recid
61,Female,25 - 45,Hispanic,Married,M,Battery,NO,NO,1,Low,1,Low,1,0,0,1,0,No_Recid,No_Recid
62,Male,Less than 25,African-American,Single,M,Battery,YES,YES,4,Low,7,Medium,1,0,0,0,1,No_Recid,Recid
64,Male,25 - 45,African-American,Separated,F,Fail To Redeliv Hire/Leas Prop,NO,NO,2,Low,2,Low,1,0,0,1,0,No_Recid,No_Recid
65,Male,25 - 45,African-American,Single,F,Fail To Redeliv Hire/Leas Prop,NO,NO,2,Low,2,Low,1,0,0,1,0,No_Recid,No_Recid
66,Female,25 - 45,Caucasian,Married,F,Aggravated Assault W/Dead Weap,YES,YES,1,Low,1,Low,1,0,0,0,1,No_Recid,Recid
67,Male,25 - 45,Caucasian,Single,F,Possession Of Methamphetamine,NO,NO,4,Low,2,Low,1,0,0,1,0,No_Recid,No_Recid
68,Male,25 - 45,Caucasian,Single,M,Battery,NO,NO,5,Medium,2,Low,0,1,0,1,0,No_Recid,No_Recid
69,Female,25 - 45,Caucasian,Single,F,Possession of Morphine,NO,NO,4,Low,3,Low,1,0,0,1,0,No_Recid,No_Recid
71,Male,25 - 45,Caucasian,Single,F,Possession of Cocaine,NO,NO,1,Low,1,Low,1,0,0,1,0,No_Recid,No_Recid
72,Male,25 - 45,Caucasian,Single,F,Aggravated Assault w/Firearm,NO,NO,5,Medium,5,Medium,0,1,0,1,0,No_Recid,No_Recid
73,Male,25 - 45,African-American,Separated,F,"Poss3,4 Methylenedioxymethcath",NO,NO,2,Low,1,Low,1,0,0,1,0,No_Recid,No_Recid
74,Male,25 - 45,African-American,Married,M,Battery,NO,NO,7,Medium,8,High,0,1,0,1,0,Recid,No_Recid
75,Male,25 - 45,African-American,Single,M,Battery,NO,NO,7,Medium,8,High,0,1,0,1,0,Recid,No_Recid
76,Female,25 - 45,Other,Single,F,Crim Use of Personal ID Info,NO,NO,2,Low,2,Low,1,0,0,1,0,No_Recid,No_Recid
77,Male,25 - 45,Caucasian,Single,F,arrest case no charge,YES,YES,10,High,7,Medium,0,0,1,0,1,Recid,Recid
79,Male,Greater than 45,Caucasian,Single,M,Battery,NO,NO,9,High,6,Medium,0,0,1,1,0,Recid,No_Recid
81,Male,25 - 45,Caucasian,Single,F,Possession Of Alprazolam,NO,NO,3,Low,1,Low,1,0,0,1,0,No_Recid,No_Recid
82,Female,25 - 45,Caucasian,Single,F,arrest case no charge,NO,NO,4,Low,5,Medium,1,0,0,1,0,No_Recid,No_Recid
83,Male,25 - 45,Caucasian,Single,M,Agg Fleeing and Eluding,NO,NO,2,Low,2,Low,1,0,0,1,0,No_Recid,No_Recid
85,Female,25 - 45,Other,Separated,M,Petit Theft,NO,NO,2,Low,1,Low,1,0,0,1,0,No_Recid,No_Recid
86,Female,25 - 45,Other,Married,M,Petit Theft,NO,NO,2,Low,1,Low,1,0,0,1,0,No_Recid,No_Recid
87,Female,Less than 25,African-American,Single,M,Battery,NO,NO,2,Low,3,Low,1,0,0,1,0,No_Recid,No_Recid
89,Male,25 - 45,African-American,Married,M,Lewdness Violation,YES,NO,2,Low,3,Low,1,0,0,1,0,No_Recid,No_Recid
91,Female,Less than 25,African-American,Single,F,arrest case no charge,NO,NO,10,High,10,High,0,0,1,1,0,Recid,No_Recid
92,Female,25 - 45,Caucasian,Married,M,DUI Level 0.15 Or Minor In Veh,NO,NO,1,Low,1,Low,1,0,0,1,0,No_Recid,No_Recid
93,Male,25 - 45,African-American,Single,F,Poss Pyrrolidinovalerophenone,YES,YES,6,Medium,5,Medium,0,1,0,0,1,No_Recid,Recid
94,Male,25 - 45,African-American,Single,M,Assault,YES,YES,5,Medium,2,Low,0,1,0,0,1,No_Recid,Recid
95,Female,Less than 25,African-American,Single,F,Grand Theft in the 3rd Degree,NO,NO,6,Medium,8,High,0,1,0,1,0,No_Recid,No_Recid
96,Female,25 - 45,Caucasian,Single,M,Fail To Obey Police Officer,NO,NO,6,Medium,3,Low,0,1,0,1,0,No_Recid,No_Recid
97,Male,Greater than 45,Hispanic,Single,F,arrest case no charge,NO,NO,1,Low,1,Low,1,0,0,1,0,No_Recid,No_Recid
98,Female,25 - 45,African-American,Single,F,arrest case no charge,YES,YES,10,High,9,High,0,0,1,0,1,Recid,Recid
99,Male,25 - 45,Hispanic,Single,F,Grand Theft in the 3rd Degree,NO,NO,4,Low,4,Low,1,0,0,1,0,No_Recid,No_Recid
102,Male,25 - 45,Caucasian,Single,M,,NO,NO,4,Low,4,Low,1,0,0,1,0,No_Recid,No_Recid
103,Male,25 - 45,African-American,Single,F,Burglary Conveyance Assault/Bat,NO,NO,7,Medium,8,High,0,1,0,1,0,Recid,No_Recid
104,Male,Greater than 45,Caucasian,Single,M,Battery,NO,NO,2,Low,1,Low,1,0,0,1,0,No_Recid,No_Recid
105,Male,Less than 25,African-American,Single,F,arrest case no charge,NO,NO,2,Low,4,Low,1,0,0,1,0,No_Recid,No_Recid
107,Male,25 - 45,Caucasian,Single,F,"Deliver 3,4 Methylenediox",NO,NO,5,Medium,4,Low,0,1,0,1,0,No_Recid,No_Recid
108,Male,Less than 25,Hispanic,Single,F,"Poss3,4 Methylenedioxymethcath",NO,NO,3,Low,5,Medium,1,0,0,1,0,No_Recid,No_Recid
109,Female,25 - 45,African-American,Single,F,Aggravated Assault W/dead Weap,NO,NO,7,Medium,3,Low,0,1,0,1,0,Recid,No_Recid
110,Male,Greater than 45,Hispanic,Married,M,Leave Acc/Attend Veh/More $50,NO,NO,1,Low,1,Low,1,0,0,1,0,No_Recid,No_Recid
111,Male,Greater than 45,African-American,Single,F,Possession of Cocaine,NO,NO,4,Low,1,Low,1,0,0,1,0,No_Recid,No_Recid
114,Male,25 - 45,African-American,Separated,M,Resist/Obstruct W/O Violence,YES,YES,6,Medium,6,Medium,0,1,0,0,1,No_Recid,Recid
115,Male,Greater than 45,Hispanic,Single,F,Burglary Unoccupied Dwelling,NO,NO,1,Low,1,Low,1,0,0,1,0,No_Recid,No_Recid
116,Male,Greater than 45,Hispanic,Single,F,Possession Of Heroin,NO,NO,2,Low,1,Low,1,0,0,1,0,No_Recid,No_Recid
117,Male,Greater than 45,Caucasian,Separated,F,Possession of Cocaine,NO,NO,1,Low,1,Low,1,0,0,1,0,No_Recid,No_Recid
118,Male,Less than 25,Other,Married,F,Burglary Unoccupied Dwelling,NO,NO,2,Low,4,Low,1,0,0,1,0,No_Recid,No_Recid
119,Male,Greater than 45,Hispanic,Separated,F,Driving While License Revoked,NO,NO,1,Low,1,Low,1,0,0,1,0,No_Recid,No_Recid
120,Male,Greater than 45,African-American,Married,F,Agg Battery Grt/Bod/Harm,YES,YES,1,Low,1,Low,1,0,0,1,0,No_Recid,No_Recid
121,Male,25 - 45,African-American,Single,M,Battery,YES,YES,9,High,8,High,0,0,1,0,1,Recid,Recid
122,Male,Greater than 45,Caucasian,Single,F,Lewd or Lascivious Molestation,NO,NO,3,Low,4,Low,1,0,0,1,0,No_Recid,No_Recid
123,Male,Less than 25,African-American,Other,F,Possession of Cannabis,YES,YES,3,Low,4,Low,1,0,0,0,1,No_Recid,Recid
124,Male,25 - 45,African-American,Single,M,Battery,YES,NO,2,Low,1,Low,1,0,0,1,0,No_Recid,No_Recid
125,Female,Less than 25,African-American,Single,M,Battery,NO,NO,4,Low,4,Low,1,0,0,1,0,No_Recid,No_Recid
126,Male,Greater than 45,Caucasian,Single,F,Sexual Performance by a Child,NO,NO,1,Low,1,Low,1,0,0,1,0,No_Recid,No_Recid
127,Female,25 - 45,Caucasian,Single,M,Leaving Acc/Unattended Veh,NO,NO,3,Low,1,Low,1,0,0,1,0,No_Recid,No_Recid
128,Male,25 - 45,Caucasian,Separated,M,Battery,NO,NO,4,Low,4,Low,1,0,0,1,0,No_Recid,No_Recid
129,Male,25 - 45,African-American,Single,M,Criminal Mischief,NO,NO,2,Low,3,Low,1,0,0,1,0,No_Recid,No_Recid
130,Female,25 - 45,African-American,Single,F,Aggrav Battery w/Deadly Weapon,NO,NO,8,High,6,Medium,0,0,1,1,0,Recid,No_Recid
132,Male,25 - 45,African-American,Other,F,Driving While License Revoked,NO,NO,1,Low,1,Low,1,0,0,1,0,No_Recid,No_Recid
134,Female,25 - 45,African-American,Single,F,arrest case no charge,NO,NO,9,High,7,Medium,0,0,1,1,0,Recid,No_Recid
135,Male,25 - 45,African-American,Separated,F,Possession of Cocaine,NO,NO,9,High,3,Low,0,0,1,1,0,Recid,No_Recid
136,Male,25 - 45,African-American,Single,M,Possess Cannabis/20 Grams Or Less,NO,NO,5,Medium,4,Low,0,1,0,1,0,No_Recid,No_Recid
141,Female,Greater than 45,Caucasian,Single,M,Driving Under The Influence,YES,YES,1,Low,1,Low,1,0,0,0,1,No_Recid,Recid
142,Male,Greater than 45,Caucasian,Single,M,Battery,NO,NO,2,Low,2,Low,1,0,0,1,0,No_Recid,No_Recid
143,Male,Greater than 45,African-American,Married,F,Aggravated Battery (Firearm/Actual Possession),NO,NO,1,Low,1,Low,1,0,0,1,0,No_Recid,No_Recid
144,Female,25 - 45,African-American,Single,F,Grand Theft in the 3rd Degree,NO,NO,7,Medium,4,Low,0,1,0,1,0,Recid,No_Recid
145,Female,25 - 45,African-American,Single,M,Battery,NO,NO,6,Medium,3,Low,0,1,0,1,0,No_Recid,No_Recid
146,Male,25 - 45,African-American,Single,M,Battery,YES,YES,1,Low,1,Low,1,0,0,1,0,No_Recid,No_Recid
147,Male,Greater than 45,African-American,Single,F,Grand Theft (Motor Vehicle),NO,NO,9,High,9,High,0,0,1,1,0,Recid,No_Recid
148,Male,Less than 25,African-American,Single,F,Robbery / Weapon,NO,NO,9,High,5,Medium,0,0,1,1,0,Recid,No_Recid
149,Male,25 - 45,African-American,Single,M,Battery,NO,NO,1,Low,1,Low,1,0,0,1,0,No_Recid,No_Recid
150,Male,Greater than 45,Caucasian,Single,F,Burglary With Assault/battery,NO,NO,1,Low,1,Low,1,0,0,1,0,No_Recid,No_Recid
151,Male,Greater than 45,African-American,Other,F,Uttering a Forged Instrument,NO,NO,4,Low,3,Low,1,0,0,1,0,No_Recid,No_Recid
152,Male,25 - 45,Caucasian,Single,F,arrest case no charge,NO,NO,1,Low,2,Low,1,0,0,1,0,No_Recid,No_Recid
153,Male,25 - 45,Caucasian,Single,F,arrest case no charge,NO,NO,1,Low,2,Low,1,0,0,1,0,No_Recid,No_Recid
154,Male,25 - 45,Caucasian,Married,F,arrest case no charge,NO,NO,1,Low,2,Low,1,0,0,1,0,No_Recid,No_Recid
155,Male,25 - 45,African-American,Other,M,Battery,YES,YES,9,High,4,Low,0,0,1,0,1,Recid,Recid
156,Male,25 - 45,Caucasian,Single,F,Criminal Mischief,NO,NO,5,Medium,3,Low,0,1,0,1,0,No_Recid,No_Recid
157,Male,Less than 25,African-American,Single,F,Pos Cannabis W/Intent Sel/Del,NO,NO,4,Low,6,Medium,1,0,0,1,0,No_Recid,No_Recid
158,Male,25 - 45,African-American,Single,F,Driving While License Revoked,NO,NO,2,Low,2,Low,1,0,0,1,0,No_Recid,No_Recid
159,Male,25 - 45,Hispanic,Single,F,Possession of Cannabis,NO,NO,4,Low,4,Low,1,0,0,1,0,No_Recid,No_Recid
160,Male,25 - 45,African-American,Single,F,Aggravated Battery / Pregnant,NO,NO,9,High,8,High,0,0,1,1,0,Recid,No_Recid
162,Male,Greater than 45,Caucasian,Single,M,Battery,NO,NO,1,Low,1,Low,1,0,0,1,0,No_Recid,No_Recid
163,Male,25 - 45,African-American,Single,F,Grand Theft in the 3rd Degree,NO,NO,3,Low,4,Low,1,0,0,1,0,No_Recid,No_Recid
164,Female,25 - 45,Other,Single,M,Battery,NO,NO,1,Low,1,Low,1,0,0,1,0,No_Recid,No_Recid
165,Female,25 - 45,Other,Single,F,Driving While License Revoked,NO,NO,2,Low,1,Low,1,0,0,1,0,No_Recid,No_Recid
170,Female,25 - 45,Hispanic,Married,M,Battery,NO,NO,2,Low,2,Low,1,0,0,1,0,No_Recid,No_Recid
171,Male,Less than 25,Hispanic,Single,M,Possess Cannabis/20 Grams Or Less,NO,NO,8,High,7,Medium,0,0,1,1,0,Recid,No_Recid
172,Male,25 - 45,African-American,Single,M,Battery,NO,NO,3,Low,3,Low,1,0,0,1,0,No_Recid,No_Recid
173,Male,Less than 25,African-American,Single,F,Carrying Concealed Firearm,YES,YES,8,High,7,Medium,0,0,1,0,1,Recid,Recid
174,Male,25 - 45,Other,Single,F,Throw In Occupied Dwell,NO,NO,1,Low,1,Low,1,0,0,1,0,No_Recid,No_Recid
175,Male,25 - 45,African-American,Single,F,arrest case no charge,NO,NO,4,Low,4,Low,1,0,0,1,0,No_Recid,No_Recid
177,Female,25 - 45,African-American,Single,F,arrest case no charge,NO,NO,1,Low,1,Low,1,0,0,1,0,No_Recid,No_Recid
178,Male,Less than 25,African-American,Single,F,Possession Burglary Tools,NO,NO,8,High,6,Medium,0,0,1,1,0,Recid,No_Recid
179,Male,Less than 25,Hispanic,Single,F,"Poss3,4 Methylenedioxymethcath",NO,NO,7,Medium,6,Medium,0,1,0,1,0,Recid,No_Recid
180,Female,Greater than 45,African-American,Married,F,Burglary Conveyance Unoccup,NO,NO,1,Low,1,Low,1,0,0,1,0,No_Recid,No_Recid
181,Female,Greater than 45,African-American,Single,F,Aggravated Assault W/Dead Weap,NO,NO,2,Low,3,Low,1,0,0,1,0,No_Recid,No_Recid
182,Male,25 - 45,Caucasian,Single,F,"Deliver 3,4 Methylenediox",NO,NO,5,Medium,4,Low,0,1,0,1,0,No_Recid,No_Recid
183,Male,25 - 45,Caucasian,Single,F,Grand Theft in the 3rd Degree,YES,YES,6,Medium,7,Medium,0,1,0,0,1,No_Recid,Recid
184,Female,Less than 25,Caucasian,Single,F,Pos Cannabis W/Intent Sel/Del,NO,NO,3,Low,4,Low,1,0,0,1,0,No_Recid,No_Recid
187,Female,25 - 45,African-American,Single,M,Battery on Law Enforc Officer,NO,NO,3,Low,1,Low,1,0,0,1,0,No_Recid,No_Recid
188,Female,25 - 45,African-American,Separated,M,Battery on Law Enforc Officer,NO,NO,3,Low,1,Low,1,0,0,1,0,No_Recid,No_Recid
189,Female,25 - 45,Other,Single,F,Aggravated Assault W/Dead Weap,NO,NO,2,Low,3,Low,1,0,0,1,0,No_Recid,No_Recid
191,Male,25 - 45,African-American,Single,F,Felony Battery (Dom Strang),NO,NO,1,Low,1,Low,1,0,0,1,0,No_Recid,No_Recid
192,Male,25 - 45,Caucasian,Single,F,arrest case no charge,NO,NO,1,Low,1,Low,1,0,0,1,0,No_Recid,No_Recid
194,Male,Greater than 45,Caucasian,Married,M,Battery,NO,NO,1,Low,1,Low,1,0,0,1,0,No_Recid,No_Recid
195,Male,Greater than 45,Caucasian,Single,F,arrest case no charge,NO,NO,4,Low,2,Low,1,0,0,1,0,No_Recid,No_Recid
196,Male,25 - 45,African-American,Single,M,Battery,YES,YES,8,High,6,Medium,0,0,1,0,1,Recid,Recid
197,Male,25 - 45,Caucasian,Single,M,Battery,NO,NO,4,Low,4,Low,1,0,0,1,0,No_Recid,No_Recid
198,Male,25 - 45,Caucasian,Single,M,Battery,NO,NO,4,Low,4,Low,1,0,0,1,0,No_Recid,No_Recid
199,Male,25 - 45,African-American,Single,M,Driving License Suspended,NO,NO,4,Low,4,Low,1,0,0,1,0,No_Recid,No_Recid
201,Male,Less than 25,Other,Single,F,Failure To Return Hired Vehicle,NO,NO,3,Low,5,Medium,1,0,0,1,0,No_Recid,No_Recid
203,Male,Greater than 45,Caucasian,Married,F,Agg Fleeing/Eluding High Speed,NO,NO,3,Low,1,Low,1,0,0,1,0,No_Recid,No_Recid
204,Female,Less than 25,African-American,Other,M,Battery,NO,NO,6,Medium,7,Medium,0,1,0,1,0,No_Recid,No_Recid
206,Male,Greater than 45,Caucasian,Separated,F,False Imprisonment,NO,NO,1,Low,1,Low,1,0,0,1,0,No_Recid,No_Recid
207,Male,25 - 45,Caucasian,Single,F,Battery on Law Enforc Officer,NO,NO,3,Low,1,Low,1,0,0,1,0,No_Recid,No_Recid
208,Female,25 - 45,African-American,Single,F,Aggrav Battery w/Deadly Weapon,NO,NO,1,Low,1,Low,1,0,0,1,0,No_Recid,No_Recid
209,Male,Less than 25,Hispanic,Married,F,Burglary Conveyance Unoccup,NO,NO,3,Low,5,Medium,1,0,0,1,0,No_Recid,No_Recid
210,Male,Less than 25,Hispanic,Single,F,Burglary Conveyance Unoccup,NO,NO,3,Low,5,Medium,1,0,0,1,0,No_Recid,No_Recid
211,Male,25 - 45,African-American,Single,M,Battery,NO,NO,1,Low,2,Low,1,0,0,1,0,No_Recid,No_Recid
212,Female,25 - 45,Caucasian,Separated,F,Possession of Cocaine,NO,NO,2,Low,1,Low,1,0,0,1,0,No_Recid,No_Recid
213,Male,Less than 25,Other,Single,F,Resist Officer w/Violence,YES,YES,10,High,10,High,0,0,1,0,1,Recid,Recid
214,Male,25 - 45,African-American,Single,F,Aggrav Battery w/Deadly Weapon,NO,NO,2,Low,3,Low,1,0,0,1,0,No_Recid,No_Recid
215,Female,Greater than 45,Caucasian,Married,M,Battery on Law Enforc Officer,NO,NO,1,Low,1,Low,1,0,0,1,0,No_Recid,No_Recid
216,Male,Greater than 45,Caucasian,Single,M,Battery On Parking Enfor Speci,NO,NO,1,Low,1,Low,1,0,0,1,0,No_Recid,No_Recid
217,Male,25 - 45,African-American,Single,F,arrest case no charge,NO,NO,9,High,6,Medium,0,0,1,1,0,Recid,No_Recid
219,Male,25 - 45,Caucasian,Single,F,arrest case no charge,NO,NO,5,Medium,3,Low,0,1,0,1,0,No_Recid,No_Recid
220,Male,Less than 25,African-American,Single,F,Burglary Structure Unoccup,YES,YES,9,High,9,High,0,0,1,0,1,Recid,Recid
221,Male,25 - 45,Caucasian,Other,M,Battery,YES,YES,3,Low,4,Low,1,0,0,0,1,No_Recid,Recid
223,Male,Less than 25,Hispanic,Single,F,Grand Theft in the 3rd Degree,YES,NO,5,Medium,6,Medium,0,1,0,1,0,No_Recid,No_Recid
224,Male,Less than 25,Hispanic,Married,F,Grand Theft in the 3rd Degree,YES,NO,5,Medium,6,Medium,0,1,0,1,0,No_Recid,No_Recid
225,Male,Less than 25,Hispanic,Other,F,Grand Theft in the 3rd Degree,YES,NO,5,Medium,6,Medium,0,1,0,1,0,No_Recid,No_Recid
226,Female,25 - 45,African-American,Single,F,Aggrav Battery w/Deadly Weapon,NO,NO,7,Medium,5,Medium,0,1,0,1,0,Recid,No_Recid
227,Female,Less than 25,Hispanic,Single,M,Operating W/O Valid License,YES,NO,3,Low,4,Low,1,0,0,1,0,No_Recid,No_Recid
228,Male,25 - 45,Caucasian,Single,F,Pos Cannabis W/Intent Sel/Del,NO,NO,5,Medium,3,Low,0,1,0,1,0,No_Recid,No_Recid
229,Male,25 - 45,Caucasian,Married,M,Viol Injunct Domestic Violence,NO,NO,3,Low,3,Low,1,0,0,1,0,No_Recid,No_Recid
230,Male,Less than 25,African-American,Single,F,Grand Theft in the 3rd Degree,NO,NO,3,Low,4,Low,1,0,0,1,0,No_Recid,No_Recid
231,Male,25 - 45,African-American,Single,F,Aggravated Assault W/Dead Weap,NO,NO,1,Low,2,Low,1,0,0,1,0,No_Recid,No_Recid
232,Female,25 - 45,Caucasian,Single,M,Battery,NO,NO,6,Medium,2,Low,0,1,0,1,0,No_Recid,No_Recid
233,Male,Greater than 45,Hispanic,Married,M,Assault,NO,NO,1,Low,1,Low,1,0,0,1,0,No_Recid,No_Recid
234,Male,Greater than 45,Hispanic,Separated,M,Assault,NO,NO,1,Low,1,Low,1,0,0,1,0,No_Recid,No_Recid
238,Male,25 - 45,African-American,Single,F,arrest case no charge,YES,YES,9,High,7,Medium,0,0,1,0,1,Recid,Recid
239,Male,Less than 25,African-American,Single,F,Grand Theft in the 3rd Degree,NO,NO,6,Medium,5,Medium,0,1,0,1,0,No_Recid,No_Recid
240,Male,Greater than 45,African-American,Single,F,Possession Burglary Tools,NO,NO,3,Low,2,Low,1,0,0,1,0,No_Recid,No_Recid
