target,feature_value,reason
Fail,preparation_midterm_company_with friends,preparing for exams with friends
Fail,scholarship_type_25%,he has completed a quarter of the school level
Fail,scholarship_type_50%,half of the school level has been completed
Fail,scholarship_type_75%,completed three quarters of the school level
Fail,scholarship_type_Full,you have completed your school level
Fail,scholarship_type_None,he has not completed any level of education
Fail,sex_female,is a woman
Fail,sex_male,is a man
Fail,total_salary_USD 135-200,family income is the lowest
Fail,total_salary_USD 201-270,family income is below average
Fail,total_salary_USD 271-340,family income is on average
Fail,total_salary_USD 341-410,family income is above average
Fail,total_salary_above 410,family income is the highest
Fail,transport_Bus,the bus is your usual means of transportation
Fail,transport_Other,use of alternative means of transport
Fail,transport_Private car/taxi,a taxi or car is your usual means of transportation
Fail,transport_bicycle,the bicycle is the usual means of transportation
Fail,weekly_study_hours_11-20 hours,their dedication to the study (in hours) is of the lowest
Fail,weekly_study_hours_6-10 hours,their dedication to study (in hours) is below the average
Fail,weekly_study_hours_<5 hours,study intensity (in hours above average)
Fail,weekly_study_hours_None,his dedication to the study (in hours) is of the highest
Fail,weekly_study_hours_more than 20 hours,your dedication to the study (in hours) is zero
