target,feature_value,reason
Samsung,internal memory_<=64_GB,entry-level Samsung models have 64 GB or less internal memory
Samsung,internal memory_>=256_GB,some Samsung phones come with 256 GB
Samsung,main camera_15_50_MP,Samsung phones typically have main cameras between 15 and 50 MP
Samsung,main camera_<15_MP,older Samsung models have main cameras with less than 15 MP
Samsung,main camera_>50_MP,newer Samsung models have main cameras with more than 50 MP
Samsung,performance_Low,some budget Samsung models have low performance
Samsung,performance_Mid,some Samsung phones offer mid-range performance
Samsung,performance_Top,some Samsung models provide high performance
Samsung,performance_Ultra top,flagship Samsung phones deliver ultra top performance
Samsung,price_200_450_dollars,Samsung offers phones in the 200 to 450 dollars range
Samsung,price_450_700_dollars,some Samsung models are priced between 450 and 700 dollars
Samsung,price_<200_dollars,very few Samsung phones are priced below 200 dollars
Samsung,price_>700_dollars,many Samsung models often exceed 700 dollars
Samsung,screen size_6.4_6.6_inches,some Samsung phones have screens between 6.4 and 6.6 inches
Samsung,screen size_<6.4_inches,older Samsung models have screens smaller than 6.4 inches
Samsung,screen size_>6.6_inches,many Samsung phones feature screens larger than 6.6 inches
Samsung,selfie camera_10_30_MP,some Samsung phones have selfie cameras between 10 and 30 MP
Samsung,selfie camera_<10_MP,entry-level Samsung models have selfie cameras with less than 10 MP
Samsung,selfie camera_>30_MP,many Samsung models have selfie cameras with more than 30 MP
Samsung,weight_190_205_g,some Samsung phones weigh between 190 and 205 grams
Samsung,weight_<190_g,lightweight Samsung models weigh less than 190 grams
Samsung,weight_>205_g,many Samsung phones weigh more than 205 grams
Xiaomi,battery size_4000_4700_mAh,some Xiaomi phones have a battery size between 4000 and 4700 mAh
Xiaomi,battery size_<4000_mAh,some Xiaomi models have batteries smaller than 4000 mAh
Xiaomi,battery size_>4700_mAh,many Xiaomi phones feature batteries larger than 4700 mAh
Xiaomi,internal memory_128_GB,some Xiaomi phones offer 128 GB of internal memory
Xiaomi,internal memory_<=64_GB,entry-level Xiaomi models have 64 GB or less internal memory
Xiaomi,internal memory_>=256_GB,many Xiaomi phones come with 256 GB
Xiaomi,main camera_15_50_MP,some Xiaomi phones have main cameras between 15 and 50 MP
Xiaomi,main camera_<15_MP,older Xiaomi models have main cameras with less than 15 MP
Xiaomi,main camera_>50_MP,many Xiaomi models have main cameras with more than 50 MP
Xiaomi,performance_Low,some budget Xiaomi models have low performance
Xiaomi,performance_Mid,many Xiaomi phones offer mid-range performance
Xiaomi,performance_Top,few Xiaomi models provide high performance
Xiaomi,performance_Ultra top,few Xiaomi phones deliver ultra top performance
Xiaomi,price_200_450_dollars,Xiaomi offers many phones in the 200 to 450 dollars range
Xiaomi,price_450_700_dollars,few Xiaomi models are priced between 450 and 700 dollars
Xiaomi,price_<200_dollars,some Xiaomi phones are priced below 200 dollars
Xiaomi,price_>700_dollars,very few Xiaomi models often exceed 700 dollars
Xiaomi,screen size_6.4_6.6_inches,many Xiaomi phones have screens between 6.4 and 6.6 inches
Xiaomi,screen size_<6.4_inches,older Xiaomi models have screens smaller than 6.4 inches
Xiaomi,screen size_>6.6_inches,large Xiaomi phones feature screens larger than 6.6 inches
Xiaomi,selfie camera_10_30_MP,Xiaomi phones typically have selfie cameras between 10 and 30 MP
Xiaomi,selfie camera_<10_MP,entry-level Xiaomi models have selfie cameras with less than 10 MP
Xiaomi,selfie camera_>30_MP,newer Xiaomi models have selfie cameras with more than 30 MP
Xiaomi,weight_190_205_g,many Xiaomi phones weigh between 190 and 205 grams
Xiaomi,weight_<190_g,lightweight Xiaomi models weigh less than 190 grams
Xiaomi,weight_>205_g,larger Xiaomi phones weigh more than 205 grams
